result_id	result_name	workunit_name	work_class	wu_create_time	rsc_fpops_est	delay_bound	sent_time	received_time	report_deadline	cpu_time	elapsed_time	flops_estimate	outcome	exit_status	host_id	domain_name	p_ncpus	p_fpops	on_frac	active_frac
1	exp_20260917T102241Z_baseline_short_1_0	exp_20260917T102241Z_baseline_short_1	short	1789640611	5000000000	600	1789640731	1789640803	1789641331	1.017625	2.005105	1000000000	1	0	1	phone-01	1	1000000000	1	1
2	exp_20260917T102241Z_baseline_short_2_0	exp_20260917T102241Z_baseline_short_2	short	1789640611	5000000000	600	1789640731	1789640805	1789641331	3.964366	5.011827	1000000000	1	0	2	cluster-02	4	1000000000	1	1
3	exp_20260917T102241Z_baseline_short_3_0	exp_20260917T102241Z_baseline_short_3	short	1789640611	5000000000	600	1789640743	1789640846	1789641343	3.08232	7.01624	1000000000	1	0	5	phone-02	1	1000000000	1	1
4	exp_20260917T102241Z_baseline_short_4_0	exp_20260917T102241Z_baseline_short_4	short	1789640616	5000000000	600	1789640766	1789640841	1789641366	1.557525	4.014047	1000000000	1	0	1	phone-01	1	1000000000	1	1
5	exp_20260917T102241Z_baseline_short_5_0	exp_20260917T102241Z_baseline_short_5	short	1789640616	5000000000	600	1789640763	1789640838	1789641363	1.98521	5.016454	1000000000	1	0	4	cluster-01	4	1000000000	1	1
6	exp_20260917T102241Z_baseline_short_6_0	exp_20260917T102241Z_baseline_short_6	short	1789640616	5000000000	600	1789640763	1789640875	1789641363	5.096729	7.040875	1000000000	1	0	4	cluster-01	4	1000000000	1	1
7	exp_20260917T102241Z_baseline_short_7_0	exp_20260917T102241Z_baseline_short_7	short	1789640621	5000000000	600	1789640763	1789640838	1789641363	1.988451	4.014569	1000000000	1	0	4	cluster-01	4	1000000000	1	1
8	exp_20260917T102241Z_baseline_short_8_0	exp_20260917T102241Z_baseline_short_8	short	1789640621	5000000000	600	1789640763	1789640838	1789641363	1.990692	3.008467	1000000000	1	0	4	cluster-01	4	1000000000	1	1
9	exp_20260917T102241Z_baseline_short_9_0	exp_20260917T102241Z_baseline_short_9	short	1789640621	5000000000	600	1789640768	1789640917	1789641368	0.981025	2.013969	1000000000	1	0	2	cluster-02	4	1000000000	1	1
10	exp_20260917T102241Z_baseline_short_10_0	exp_20260917T102241Z_baseline_short_10	short	1789640621	5000000000	600	1789640725	1789640801	1789641325	2.986986	4.014635	1000000000	1	0	4	cluster-01	4	1000000000	1	1
11	exp_20260917T102241Z_baseline_short_11_0	exp_20260917T102241Z_baseline_short_11	short	1789640626	5000000000	600	1789640719	1789640906	1789641319	5.097417	7.026124	1000000000	1	0	3	desktop-01	2	1000000000	1	1
12	exp_20260917T102241Z_baseline_short_12_0	exp_20260917T102241Z_baseline_short_12	short	1789640626	5000000000	600	1789640707	1789640731	1789641307	2.574957	7.02812	1000000000	1	0	5	phone-02	1	1000000000	1	1
13	exp_20260917T102241Z_baseline_short_13_0	exp_20260917T102241Z_baseline_short_13	short	1789640631	5000000000	600	1789640717	1789640825	1789641317	5.084211	7.036672	1000000000	1	0	6	low-power-01	1	1000000000	1	1
14	exp_20260917T102241Z_baseline_short_14_0	exp_20260917T102241Z_baseline_short_14	short	1789640631	5000000000	600	1789640690	1789640763	1789641290	5.090239	7.044809	1000000000	1	0	4	cluster-01	4	1000000000	1	1
15	exp_20260917T102241Z_baseline_short_15_0	exp_20260917T102241Z_baseline_short_15	short	1789640631	5000000000	600	1789640702	1789640766	1789641302	2.571866	7.029044	1000000000	1	0	1	phone-01	1	1000000000	1	1
16	exp_20260917T102241Z_baseline_short_16_0	exp_20260917T102241Z_baseline_short_16	short	1789640636	5000000000	600	1789640702	1789640768	1789641302	5.083554	7.030251	1000000000	1	0	2	cluster-02	4	1000000000	1	1
17	exp_20260917T102241Z_baseline_short_17_0	exp_20260917T102241Z_baseline_short_17	short	1789640636	5000000000	600	1789640719	1789640743	1789641319	2.525874	7.025841	1000000000	1	0	5	phone-02	1	1000000000	1	1
18	exp_20260917T102241Z_baseline_short_18_0	exp_20260917T102241Z_baseline_short_18	short	1789640636	5000000000	600	1789640695	1789640719	1789641295	2.555245	7.023503	1000000000	1	0	5	phone-02	1	1000000000	1	1
19	exp_20260917T102241Z_baseline_medium_1_0	exp_20260917T102241Z_baseline_medium_1	medium	1789640641	30000000000	1200	1789640699	1789640793	1789641899	19.3958	20.07564	1000000000	1	0	6	low-power-01	1	1000000000	1	1
