apache-1  | /usr/lib/python2.7/dist-packages/supervisor/options.py:461: UserWarning: Supervisord is running as root and it is searching for its configuration file in default locations (including its current working directory); you probably want to specify a "-c" argument specifying an absolute path to a configuration file for improved security.
apache-1  |   'Supervisord is running as root and it is searching '
apache-1  | 2026-09-17 10:36:44,420 CRIT Supervisor is running as root.  Privileges were not dropped because no user is specified in the config file.  If you intend to run as root, you can set user=root in the config file to avoid this message.
apache-1  | 2026-09-17 10:36:44,420 INFO Included extra file "/etc/supervisor/conf.d/supervisord.conf" during parsing
apache-1  | 2026-09-17 10:36:44,423 INFO RPC interface 'supervisor' initialized
apache-1  | 2026-09-17 10:36:44,423 CRIT Server 'unix_http_server' running without any HTTP authentication checking
apache-1  | 2026-09-17 10:36:44,423 INFO supervisord started with pid 1
apache-1  | 2026-09-17 10:36:45,427 INFO spawned: 'cron' with pid 9
apache-1  | 2026-09-17 10:36:45,429 INFO spawned: 'start' with pid 10
apache-1  | 2026-09-17 10:36:45,431 INFO spawned: 'rsyslogd' with pid 11
apache-1  | 2026-09-17 10:36:45,434 INFO spawned: 'apache2' with pid 12
apache-1  | 2026-09-17 10:36:47,409 INFO success: cron entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-17 10:36:47,409 INFO success: start entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-17 10:36:47,409 INFO success: rsyslogd entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-17 10:36:47,409 INFO success: apache2 entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-17 10:37:05,948 INFO reaped unknown pid 69
apache-1  | 2026-09-17 10:37:05,949 INFO reaped unknown pid 71
apache-1  | 2026-09-17 10:37:05,949 INFO reaped unknown pid 73
apache-1  | 2026-09-17 10:37:21,588 INFO reaped unknown pid 72
apache-1  | 2026-09-17 10:37:21,588 INFO reaped unknown pid 74
apache-1  | 2026-09-17 10:37:21,590 INFO reaped unknown pid 70
apache-1  | 2026-09-17 10:37:29,783 INFO reaped unknown pid 159
apache-1  | 2026-09-17 10:37:29,783 INFO reaped unknown pid 161
apache-1  | 2026-09-17 10:37:29,783 INFO reaped unknown pid 163
apache-1  | 2026-09-17 10:37:29,784 INFO reaped unknown pid 165
apache-1  | 2026-09-17 10:37:29,784 INFO reaped unknown pid 167
apache-1  | 2026-09-17 10:40:01,462 INFO reaped unknown pid 405
apache-1  | 2026-09-17 10:40:01,567 INFO reaped unknown pid 407
apache-1  | 2026-09-17 10:40:01,669 INFO reaped unknown pid 409
apache-1  | 2026-09-17 10:40:01,774 INFO reaped unknown pid 411
apache-1  | 2026-09-17 10:40:01,880 INFO reaped unknown pid 413
apache-1  | 2026-09-17 10:40:02,926 INFO reaped unknown pid 404
apache-1  | 2026-09-17 10:40:02,926 INFO reaped unknown pid 406
apache-1  | 2026-09-17 10:40:02,926 INFO reaped unknown pid 408
apache-1  | 2026-09-17 10:40:02,926 INFO reaped unknown pid 410
apache-1  | 2026-09-17 10:40:02,926 INFO reaped unknown pid 412
apache-1  | 2026-09-17 10:40:02,926 INFO reaped unknown pid 414
apache-1  | 2026-09-17 10:40:02,926 INFO reaped unknown pid 415
apache-1  | 2026-09-17 10:40:02,926 INFO reaped unknown pid 419
apache-1  | 2026-09-17 10:40:02,926 INFO reaped unknown pid 421
apache-1  | 2026-09-17 10:40:02,926 INFO reaped unknown pid 424
apache-1  | 2026-09-17 10:40:02,926 INFO reaped unknown pid 426
apache-1  | 2026-09-17 10:40:02,926 INFO reaped unknown pid 428
apache-1  | 2026-09-17 10:40:02,926 INFO reaped unknown pid 430
apache-1  | 2026-09-17 10:40:07,426 INFO reaped unknown pid 422
