result_id	result_name	workunit_name	work_class	wu_create_time	rsc_fpops_est	delay_bound	sent_time	received_time	report_deadline	cpu_time	elapsed_time	flops_estimate	outcome	exit_status	host_id	domain_name	p_ncpus	p_fpops	on_frac	active_frac
1	exp_20260917T102241Z_round_robin_short_1_0	exp_20260917T102241Z_round_robin_short_1	short	1789642638	5000000000	600	1789642682	1789642733	1789643282	4.997781	6.034799	1000000000	1	0	1	cluster-02	4	1000000000	1	1
2	exp_20260917T102241Z_round_robin_short_2_0	exp_20260917T102241Z_round_robin_short_2	short	1789642638	5000000000	600	1789642682	1789642706	1789643282	3.00281	8.045148	1000000000	1	0	2	phone-02	1	1000000000	1	1
3	exp_20260917T102241Z_round_robin_short_3_0	exp_20260917T102241Z_round_robin_short_3	short	1789642638	5000000000	600	1789642743	1789642855	1789643343	4.971478	7.031018	1000000000	1	0	4	desktop-01	2	1000000000	1	1
4	exp_20260917T102241Z_round_robin_short_4_0	exp_20260917T102241Z_round_robin_short_4	short	1789642638	5000000000	600	1789642686	1789642710	1789643286	5.090486	7.035525	1000000000	1	0	4	desktop-01	2	1000000000	1	1
5	exp_20260917T102241Z_round_robin_short_5_0	exp_20260917T102241Z_round_robin_short_5	short	1789642638	5000000000	600	1789642699	1789642728	1789643299	3.043108	8.032009	1000000000	1	0	5	phone-01	1	1000000000	1	1
6	exp_20260917T102241Z_round_robin_short_6_0	exp_20260917T102241Z_round_robin_short_6	short	1789642643	5000000000	600	1789642692	1789642721	1789643292	5.005508	7.039453	1000000000	1	0	6	low-power-01	1	1000000000	1	1
7	exp_20260917T102241Z_round_robin_short_7_0	exp_20260917T102241Z_round_robin_short_7	short	1789642643	5000000000	600	1789642699	1789642765	1789643299	5.0775	7.027513	1000000000	1	0	1	cluster-02	4	1000000000	1	1
8	exp_20260917T102241Z_round_robin_short_8_0	exp_20260917T102241Z_round_robin_short_8	short	1789642648	5000000000	600	1789642694	1789642723	1789643294	2.598956	7.051369	1000000000	1	0	2	phone-02	1	1000000000	1	1
9	exp_20260917T102241Z_round_robin_short_9_0	exp_20260917T102241Z_round_robin_short_9	short	1789642648	5000000000	600	1789642682	1789642755	1789643282	4.996153	5.028505	1000000000	1	0	3	cluster-01	4	1000000000	1	1
10	exp_20260917T102241Z_round_robin_short_10_0	exp_20260917T102241Z_round_robin_short_10	short	1789642648	5000000000	600	1789642698	1789642743	1789643298	5.075517	7.029251	1000000000	1	0	4	desktop-01	2	1000000000	1	1
11	exp_20260917T102241Z_round_robin_short_11_0	exp_20260917T102241Z_round_robin_short_11	short	1789642648	5000000000	600	1789642687	1789642716	1789643287	2.57552	7.039041	1000000000	1	0	5	phone-01	1	1000000000	1	1
12	exp_20260917T102241Z_round_robin_short_12_0	exp_20260917T102241Z_round_robin_short_12	short	1789642648	5000000000	600	1789642709	1789642763	1789643309	5.000601	7.017381	1000000000	1	0	6	low-power-01	1	1000000000	1	1
13	exp_20260917T102241Z_round_robin_short_13_0	exp_20260917T102241Z_round_robin_short_13	short	1789642648	5000000000	600	1789642699	1789642765	1789643299	5.084311	8.03522	1000000000	1	0	1	cluster-02	4	1000000000	1	1
14	exp_20260917T102241Z_round_robin_short_14_0	exp_20260917T102241Z_round_robin_short_14	short	1789642653	5000000000	600	1789642706	1789642735	1789643306	2.585495	7.045371	1000000000	1	0	2	phone-02	1	1000000000	1	1
15	exp_20260917T102241Z_round_robin_short_15_0	exp_20260917T102241Z_round_robin_short_15	short	1789642653	5000000000	600	1789642718	1789642798	1789643318	4.983921	7.022234	1000000000	1	0	3	cluster-01	4	1000000000	1	1
16	exp_20260917T102241Z_round_robin_short_16_0	exp_20260917T102241Z_round_robin_short_16	short	1789642653	5000000000	600	1789642698	1789642743	1789643298	5.077747	8.030037	1000000000	1	0	4	desktop-01	2	1000000000	1	1
17	exp_20260917T102241Z_round_robin_short_17_0	exp_20260917T102241Z_round_robin_short_17	short	1789642653	5000000000	600	1789642716	1789642758	1789643316	3.095337	8.02471	1000000000	1	0	5	phone-01	1	1000000000	1	1
18	exp_20260917T102241Z_round_robin_short_18_0	exp_20260917T102241Z_round_robin_short_18	short	1789642653	5000000000	600	1789642721	1789642800	1789643321	5.947503	7.018147	1000000000	1	0	6	low-power-01	1	1000000000	1	1
19	exp_20260917T102241Z_round_robin_medium_1_0	exp_20260917T102241Z_round_robin_medium_1	medium	1789642653	30000000000	1200	1789642699	1789642808	1789643899	12.06141	13.07039	1000000000	1	0	1	cluster-02	4	1000000000	1	1
20	exp_20260917T102241Z_round_robin_medium_2_0	exp_20260917T102241Z_round_robin_medium_2	medium	1789642653	30000000000	1200	1789642723	1789642811	1789643923	8.216267	17.122322	1000000000	1	0	2	phone-02	1	1000000000	1	1
21	exp_20260917T102241Z_round_robin_medium_3_0	exp_20260917T102241Z_round_robin_medium_3	medium	1789642653	30000000000	1200	1789642718	1789642798	1789643918	8.102277	9.036342	1000000000	1	0	3	cluster-01	4	1000000000	1	1
22	exp_20260917T102241Z_round_robin_medium_4_0	exp_20260917T102241Z_round_robin_medium_4	medium	1789642653	30000000000	1200	1789642710	1789642813	1789643910	11.10551	12.038316	1000000000	1	0	4	desktop-01	2	1000000000	1	1
23	exp_20260917T102241Z_round_robin_medium_5_0	exp_20260917T102241Z_round_robin_medium_5	medium	1789642658	30000000000	1200	1789642728	1789642796	1789643928	3.058802	7.068386	1000000000	1	0	5	phone-01	1	1000000000	1	1
24	exp_20260917T102241Z_round_robin_medium_6_0	exp_20260917T102241Z_round_robin_medium_6	medium	1789642658	30000000000	1200	1789642733	1789642840	1789643933	8.984432	11.055384	1000000000	1	0	1	cluster-02	4	1000000000	1	1
25	exp_20260917T102241Z_round_robin_medium_7_0	exp_20260917T102241Z_round_robin_medium_7	medium	1789642658	30000000000	1200	1789642699	1789642808	1789643899	11.24892	12.064284	1000000000	1	0	1	cluster-02	4	1000000000	1	1
26	exp_20260917T102241Z_round_robin_medium_8_0	exp_20260917T102241Z_round_robin_medium_8	medium	1789642658	30000000000	1200	1789642733	1789642840	1789643933	10.09323	11.056723	1000000000	1	0	1	cluster-02	4	1000000000	1	1
27	exp_20260917T102241Z_round_robin_medium_9_0	exp_20260917T102241Z_round_robin_medium_9	medium	1789642658	30000000000	1200	1789642718	1789642798	1789643918	8.00335	10.03834	1000000000	1	0	3	cluster-01	4	1000000000	1	1
28	exp_20260917T102241Z_round_robin_medium_10_0	exp_20260917T102241Z_round_robin_medium_10	medium	1789642658	30000000000	1200	1789642710	1789642813	1789643910	11.00734	13.044642	1000000000	1	0	4	desktop-01	2	1000000000	1	1
29	exp_20260917T102241Z_round_robin_medium_11_0	exp_20260917T102241Z_round_robin_medium_11	medium	1789642663	30000000000	1200	1789642755	1789642835	1789643955	8.058297	9.040546	1000000000	1	0	3	cluster-01	4	1000000000	1	1
30	exp_20260917T102241Z_round_robin_medium_12_0	exp_20260917T102241Z_round_robin_medium_12	medium	1789642663	30000000000	1200	1789642733	1789642808	1789643933	4.989325	6.038957	1000000000	1	0	1	cluster-02	4	1000000000	1	1
31	exp_20260917T102241Z_round_robin_long_1_0	exp_20260917T102241Z_round_robin_long_1	long	1789642663	120000000000	3600	1789642733	1789642915	1789646333	39.5362	39.5362	1000000000	1	0	1	cluster-02	4	1000000000	1	1
32	exp_20260917T102241Z_round_robin_long_2_0	exp_20260917T102241Z_round_robin_long_2	long	1789642663	120000000000	3600	1789642735	1789642928	1789646335	22.71636	43.173443	1000000000	1	0	2	phone-02	1	1000000000	1	1
33	exp_20260917T102241Z_round_robin_long_3_0	exp_20260917T102241Z_round_robin_long_3	long	1789642663	120000000000	3600	1789642718	1789642906	1789646318	44.1882	44.1882	1000000000	1	0	3	cluster-01	4	1000000000	1	1
34	exp_20260917T102241Z_round_robin_long_4_0	exp_20260917T102241Z_round_robin_long_4	long	1789642663	120000000000	3600	1789642743	1789642931	1789646343	44.13819	44.13819	1000000000	1	0	4	desktop-01	2	1000000000	1	1
35	exp_20260917T102241Z_round_robin_long_5_0	exp_20260917T102241Z_round_robin_long_5	long	1789642668	120000000000	3600	1789642755	1789642943	1789646355	44.76215	44.76215	1000000000	1	0	3	cluster-01	4	1000000000	1	1
36	exp_20260917T102241Z_round_robin_long_6_0	exp_20260917T102241Z_round_robin_long_6	long	1789642668	120000000000	3600	1789642755	1789642943	1789646355	44.78666	44.78666	1000000000	1	0	3	cluster-01	4	1000000000	1	1
