apache-1  | /usr/lib/python2.7/dist-packages/supervisor/options.py:461: UserWarning: Supervisord is running as root and it is searching for its configuration file in default locations (including its current working directory); you probably want to specify a "-c" argument specifying an absolute path to a configuration file for improved security.
apache-1  |   'Supervisord is running as root and it is searching '
apache-1  | 2026-09-17 10:42:30,065 CRIT Supervisor is running as root.  Privileges were not dropped because no user is specified in the config file.  If you intend to run as root, you can set user=root in the config file to avoid this message.
apache-1  | 2026-09-17 10:42:30,065 INFO Included extra file "/etc/supervisor/conf.d/supervisord.conf" during parsing
apache-1  | 2026-09-17 10:42:30,068 INFO RPC interface 'supervisor' initialized
apache-1  | 2026-09-17 10:42:30,068 CRIT Server 'unix_http_server' running without any HTTP authentication checking
apache-1  | 2026-09-17 10:42:30,068 INFO supervisord started with pid 1
apache-1  | 2026-09-17 10:42:31,076 INFO spawned: 'cron' with pid 9
apache-1  | 2026-09-17 10:42:31,078 INFO spawned: 'start' with pid 10
apache-1  | 2026-09-17 10:42:31,080 INFO spawned: 'rsyslogd' with pid 11
apache-1  | 2026-09-17 10:42:31,085 INFO spawned: 'apache2' with pid 13
apache-1  | 2026-09-17 10:42:33,054 INFO success: cron entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-17 10:42:33,054 INFO success: start entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-17 10:42:33,054 INFO success: rsyslogd entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-17 10:42:33,054 INFO success: apache2 entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-17 10:42:46,546 INFO reaped unknown pid 64
apache-1  | 2026-09-17 10:42:46,547 INFO reaped unknown pid 66
apache-1  | 2026-09-17 10:42:46,547 INFO reaped unknown pid 68
apache-1  | 2026-09-17 10:42:53,152 INFO reaped unknown pid 67
apache-1  | 2026-09-17 10:42:53,152 INFO reaped unknown pid 69
apache-1  | 2026-09-17 10:42:53,154 INFO reaped unknown pid 65
apache-1  | 2026-09-17 10:43:01,344 INFO reaped unknown pid 153
apache-1  | 2026-09-17 10:43:01,344 INFO reaped unknown pid 155
apache-1  | 2026-09-17 10:43:01,345 INFO reaped unknown pid 157
apache-1  | 2026-09-17 10:43:01,345 INFO reaped unknown pid 159
apache-1  | 2026-09-17 10:43:01,345 INFO reaped unknown pid 161
apache-1  | 2026-09-17 10:45:01,113 INFO reaped unknown pid 345
apache-1  | 2026-09-17 10:45:01,219 INFO reaped unknown pid 347
apache-1  | 2026-09-17 10:45:01,319 INFO reaped unknown pid 349
apache-1  | 2026-09-17 10:45:01,419 INFO reaped unknown pid 351
apache-1  | 2026-09-17 10:45:01,519 INFO reaped unknown pid 353
apache-1  | 2026-09-17 10:45:02,554 INFO reaped unknown pid 344
apache-1  | 2026-09-17 10:45:02,554 INFO reaped unknown pid 346
apache-1  | 2026-09-17 10:45:02,554 INFO reaped unknown pid 348
apache-1  | 2026-09-17 10:45:02,554 INFO reaped unknown pid 350
apache-1  | 2026-09-17 10:45:02,554 INFO reaped unknown pid 352
apache-1  | 2026-09-17 10:45:02,554 INFO reaped unknown pid 354
apache-1  | 2026-09-17 10:45:02,554 INFO reaped unknown pid 355
apache-1  | 2026-09-17 10:45:02,554 INFO reaped unknown pid 359
apache-1  | 2026-09-17 10:45:02,554 INFO reaped unknown pid 361
apache-1  | 2026-09-17 10:45:02,554 INFO reaped unknown pid 364
apache-1  | 2026-09-17 10:45:02,554 INFO reaped unknown pid 366
apache-1  | 2026-09-17 10:45:02,554 INFO reaped unknown pid 368
apache-1  | 2026-09-17 10:45:02,554 INFO reaped unknown pid 370
apache-1  | 2026-09-17 10:45:07,053 INFO reaped unknown pid 362
