apache-1  | /usr/lib/python2.7/dist-packages/supervisor/options.py:461: UserWarning: Supervisord is running as root and it is searching for its configuration file in default locations (including its current working directory); you probably want to specify a "-c" argument specifying an absolute path to a configuration file for improved security.
apache-1  |   'Supervisord is running as root and it is searching '
apache-1  | 2026-09-17 11:02:56,468 CRIT Supervisor is running as root.  Privileges were not dropped because no user is specified in the config file.  If you intend to run as root, you can set user=root in the config file to avoid this message.
apache-1  | 2026-09-17 11:02:56,468 INFO Included extra file "/etc/supervisor/conf.d/supervisord.conf" during parsing
apache-1  | 2026-09-17 11:02:56,472 INFO RPC interface 'supervisor' initialized
apache-1  | 2026-09-17 11:02:56,472 CRIT Server 'unix_http_server' running without any HTTP authentication checking
apache-1  | 2026-09-17 11:02:56,472 INFO supervisord started with pid 1
apache-1  | 2026-09-17 11:02:57,477 INFO spawned: 'cron' with pid 9
apache-1  | 2026-09-17 11:02:57,478 INFO spawned: 'start' with pid 10
apache-1  | 2026-09-17 11:02:57,478 INFO spawned: 'rsyslogd' with pid 11
apache-1  | 2026-09-17 11:02:57,479 INFO spawned: 'apache2' with pid 12
apache-1  | 2026-09-17 11:02:59,452 INFO success: cron entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-17 11:02:59,452 INFO success: start entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-17 11:02:59,452 INFO success: rsyslogd entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-17 11:02:59,452 INFO success: apache2 entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-17 11:03:17,957 INFO reaped unknown pid 69
apache-1  | 2026-09-17 11:03:17,957 INFO reaped unknown pid 71
apache-1  | 2026-09-17 11:03:17,957 INFO reaped unknown pid 73
apache-1  | 2026-09-17 11:03:18,602 INFO reaped unknown pid 72
apache-1  | 2026-09-17 11:03:18,602 INFO reaped unknown pid 74
apache-1  | 2026-09-17 11:03:18,604 INFO reaped unknown pid 70
apache-1  | 2026-09-17 11:03:26,816 INFO reaped unknown pid 159
apache-1  | 2026-09-17 11:03:26,817 INFO reaped unknown pid 161
apache-1  | 2026-09-17 11:03:26,817 INFO reaped unknown pid 163
apache-1  | 2026-09-17 11:03:26,817 INFO reaped unknown pid 165
apache-1  | 2026-09-17 11:03:26,817 INFO reaped unknown pid 167
apache-1  | 2026-09-17 11:05:01,502 INFO reaped unknown pid 288
apache-1  | 2026-09-17 11:05:01,607 INFO reaped unknown pid 290
apache-1  | 2026-09-17 11:05:01,711 INFO reaped unknown pid 292
apache-1  | 2026-09-17 11:05:01,815 INFO reaped unknown pid 300
apache-1  | 2026-09-17 11:05:01,920 INFO reaped unknown pid 302
apache-1  | 2026-09-17 11:05:02,961 INFO reaped unknown pid 287
apache-1  | 2026-09-17 11:05:02,961 INFO reaped unknown pid 289
apache-1  | 2026-09-17 11:05:02,962 INFO reaped unknown pid 291
apache-1  | 2026-09-17 11:05:02,962 INFO reaped unknown pid 299
apache-1  | 2026-09-17 11:05:02,962 INFO reaped unknown pid 301
apache-1  | 2026-09-17 11:05:02,962 INFO reaped unknown pid 303
apache-1  | 2026-09-17 11:05:02,962 INFO reaped unknown pid 306
apache-1  | 2026-09-17 11:05:02,962 INFO reaped unknown pid 308
apache-1  | 2026-09-17 11:05:02,962 INFO reaped unknown pid 311
apache-1  | 2026-09-17 11:05:02,962 INFO reaped unknown pid 313
apache-1  | 2026-09-17 11:05:02,962 INFO reaped unknown pid 315
apache-1  | 2026-09-17 11:05:02,962 INFO reaped unknown pid 317
apache-1  | 2026-09-17 11:05:07,152 INFO reaped unknown pid 304
apache-1  | 2026-09-17 11:05:07,463 INFO reaped unknown pid 309
