timestamp,node,action
1789578497.2003012,cluster-01,start
1789578497.235216,cluster-02,start
1789578497.266349,desktop-01,start
1789578497.298003,low-power-01,start
1789578497.328737,phone-01,start
1789578497.359453,phone-02,start
1789578532.867116,cluster-01,stop
1789578542.842226,cluster-02,stop
1789578545.0779169,cluster-01,restart
1789578552.940118,desktop-01,stop
1789578555.0600388,cluster-02,restart
1789578563.067893,low-power-01,stop
1789578565.280044,desktop-01,restart
1789578570.4544399,cluster-01,stop
1789578573.150344,phone-01,stop
1789578575.323348,low-power-01,restart
1789578580.459002,cluster-02,stop
1789578582.695787,cluster-01,restart
1789578583.2481449,phone-02,stop
1789578585.356288,phone-01,restart
1789578590.590692,desktop-01,stop
1789578592.705806,cluster-02,restart
1789578595.4749749,phone-02,restart
1789578600.625646,low-power-01,stop
1789578602.814614,desktop-01,restart
1789578607.9883468,cluster-01,stop
1789578610.6801212,phone-01,stop
1789578612.791919,low-power-01,restart
1789578617.986209,cluster-02,stop
1789578620.1487029,cluster-01,restart
1789578620.768975,phone-02,stop
1789578622.8793979,phone-01,restart
1789578628.072118,desktop-01,stop
1789578630.1504278,cluster-02,restart
1789578632.9435258,phone-02,restart
1789578638.056315,low-power-01,stop
1789578640.2630012,desktop-01,restart
1789578645.4318259,cluster-01,stop
1789578648.182217,phone-01,stop
1789578650.2308621,low-power-01,restart
1789578655.4252381,cluster-02,stop
1789578657.598013,cluster-01,restart
1789578658.236116,phone-02,stop
1789578660.352586,phone-01,restart
1789578665.5056021,desktop-01,stop
1789578667.590114,cluster-02,restart
1789578670.389337,phone-02,restart
1789578675.465914,low-power-01,stop
1789578677.673898,desktop-01,restart
1789578682.89386,cluster-01,stop
1789578685.6333609,phone-01,stop
1789578687.657152,low-power-01,restart
1789578692.908725,cluster-02,stop
1789578695.1079092,cluster-01,restart
1789578695.6919,phone-02,stop
1789578697.823759,phone-01,restart
1789578703.014891,desktop-01,stop
1789578705.12413,cluster-02,restart
1789578707.914143,phone-02,restart
