result_id	result_name	workunit_name	work_class	wu_create_time	rsc_fpops_est	delay_bound	sent_time	received_time	report_deadline	cpu_time	elapsed_time	flops_estimate	outcome	exit_status	host_id	domain_name	p_ncpus	p_fpops	on_frac	active_frac
1	exp_20260916T165346Z_lpt_short_1_0	exp_20260916T165346Z_lpt_short_1	short	1789578461	5000000000	600	1789578532	1789578566	1789579132	4.978586	7.014054	1000000000	1	0	6	desktop-01	2	1000000000	1	1
2	exp_20260916T165346Z_lpt_short_2_0	exp_20260916T165346Z_lpt_short_2	short	1789578461	5000000000	600	1789578544	1789578603	1789579144	4.979434	7.02253	1000000000	1	0	6	desktop-01	2	1000000000	1	1
3	exp_20260916T165346Z_lpt_short_3_0	exp_20260916T165346Z_lpt_short_3	short	1789578461	5000000000	600	1789578539	1789578598	1789579139	5.070213	7.090988	1000000000	1	0	3	cluster-02	4	1000000000	1	1
4	exp_20260916T165346Z_lpt_short_4_0	exp_20260916T165346Z_lpt_short_4	short	1789578461	5000000000	600	1789578539	1789578615	1789579139	5.096368	7.023015	1000000000	1	0	3	cluster-02	4	1000000000	1	1
5	exp_20260916T165346Z_lpt_short_5_0	exp_20260916T165346Z_lpt_short_5	short	1789578461	5000000000	600	1789578539	1789578598	1789579139	5.074847	7.096418	1000000000	1	0	3	cluster-02	4	1000000000	1	1
6	exp_20260916T165346Z_lpt_short_6_0	exp_20260916T165346Z_lpt_short_6	short	1789578461	5000000000	600	1789578546	1789578599	1789579146	5.071024	7.060484	1000000000	1	0	4	cluster-01	4	1000000000	1	1
7	exp_20260916T165346Z_lpt_short_7_0	exp_20260916T165346Z_lpt_short_7	short	1789578461	5000000000	600	1789578546	1789578599	1789579146	5.050576	6.075621	1000000000	1	0	4	cluster-01	4	1000000000	1	1
8	exp_20260916T165346Z_lpt_short_8_0	exp_20260916T165346Z_lpt_short_8	short	1789578461	5000000000	600	1789578546	1789578599	1789579146	5.059412	6.071958	1000000000	1	0	4	cluster-01	4	1000000000	1	1
9	exp_20260916T165346Z_lpt_short_9_0	exp_20260916T165346Z_lpt_short_9	short	1789578461	5000000000	600	1789578566	1789578616	1789579166	5.065507	5.065507	1000000000	1	0	6	desktop-01	2	1000000000	1	1
10	exp_20260916T165346Z_lpt_short_10_0	exp_20260916T165346Z_lpt_short_10	short	1789578466	5000000000	600	1789578573	1789578615	1789579173	4.598658	5.008907	1000000000	1	0	3	cluster-02	4	1000000000	1	1
11	exp_20260916T165346Z_lpt_short_11_0	exp_20260916T165346Z_lpt_short_11	short	1789578471	5000000000	600	1789578573	1789578615	1789579173	5.08002	7.031052	1000000000	1	0	3	cluster-02	4	1000000000	1	1
12	exp_20260916T165346Z_lpt_short_12_0	exp_20260916T165346Z_lpt_short_12	short	1789578471	5000000000	600	1789578573	1789578615	1789579173	1.094255	3.006037	1000000000	1	0	3	cluster-02	4	1000000000	1	1
13	exp_20260916T165346Z_lpt_short_13_0	exp_20260916T165346Z_lpt_short_13	short	1789578471	5000000000	600	1789578598	1789578631	1789579198	4.982775	8.017936	1000000000	1	0	3	cluster-02	4	1000000000	1	1
14	exp_20260916T165346Z_lpt_short_14_0	exp_20260916T165346Z_lpt_short_14	short	1789578476	5000000000	600	1789578583	1789578621	1789579183	5.088233	7.043115	1000000000	1	0	4	cluster-01	4	1000000000	1	1
15	exp_20260916T165346Z_lpt_short_15_0	exp_20260916T165346Z_lpt_short_15	short	1789578476	5000000000	600	1789578583	1789578599	1789579183	4.985902	7.054944	1000000000	1	0	4	cluster-01	4	1000000000	1	1
16	exp_20260916T165346Z_lpt_short_16_0	exp_20260916T165346Z_lpt_short_16	short	1789578476	5000000000	600	1789578583	1789578621	1789579183	5.087509	7.030492	1000000000	1	0	4	cluster-01	4	1000000000	1	1
17	exp_20260916T165346Z_lpt_short_17_0	exp_20260916T165346Z_lpt_short_17	short	1789578481	5000000000	600	1789578598	1789578631	1789579198	4.982259	7.017813	1000000000	1	0	3	cluster-02	4	1000000000	1	1
18	exp_20260916T165346Z_lpt_short_18_0	exp_20260916T165346Z_lpt_short_18	short	1789578481	5000000000	600	1789578599	1789578638	1789579199	4.982528	5.021648	1000000000	1	0	4	cluster-01	4	1000000000	1	1
19	exp_20260916T165346Z_lpt_medium_1_0	exp_20260916T165346Z_lpt_medium_1	medium	1789578481	30000000000	1200	1789578522	1789578683	1789579722	9.087991	20.064712	1000000000	1	0	2	phone-01	1	1000000000	1	1
20	exp_20260916T165346Z_lpt_medium_2_0	exp_20260916T165346Z_lpt_medium_2	medium	1789578481	30000000000	1200	1789578527	1789578583	1789579727	17.92542	18.094484	1000000000	1	0	4	cluster-01	4	1000000000	1	1
21	exp_20260916T165346Z_lpt_medium_3_0	exp_20260916T165346Z_lpt_medium_3	medium	1789578486	30000000000	1200	1789578527	1789578681	1789579727	10.14534	20.129033	1000000000	1	0	1	phone-02	1	1000000000	1	1
22	exp_20260916T165346Z_lpt_medium_4_0	exp_20260916T165346Z_lpt_medium_4	medium	1789578486	30000000000	1200	1789578527	1789578698	1789579727	22.37001	24.107721	1000000000	1	0	5	low-power-01	1	1000000000	1	1
23	exp_20260916T165346Z_lpt_medium_5_0	exp_20260916T165346Z_lpt_medium_5	medium	1789578486	30000000000	1200	1789578527	1789578615	1789579727	17.29023	18.136443	1000000000	1	0	3	cluster-02	4	1000000000	1	1
24	exp_20260916T165346Z_lpt_medium_6_0	exp_20260916T165346Z_lpt_medium_6	medium	1789578486	30000000000	1200	1789578527	1789578583	1789579727	17.95813	20.102483	1000000000	1	0	4	cluster-01	4	1000000000	1	1
25	exp_20260916T165346Z_lpt_medium_7_0	exp_20260916T165346Z_lpt_medium_7	medium	1789578486	30000000000	1200	1789578527	1789578621	1789579727	18.14679	19.154311	1000000000	1	0	4	cluster-01	4	1000000000	1	1
26	exp_20260916T165346Z_lpt_medium_8_0	exp_20260916T165346Z_lpt_medium_8	medium	1789578486	30000000000	1200	1789578527	1789578573	1789579727	17.92914	18.064717	1000000000	1	0	3	cluster-02	4	1000000000	1	1
27	exp_20260916T165346Z_lpt_medium_9_0	exp_20260916T165346Z_lpt_medium_9	medium	1789578486	30000000000	1200	1789578527	1789578573	1789579727	18.01585	20.077845	1000000000	1	0	3	cluster-02	4	1000000000	1	1
28	exp_20260916T165346Z_lpt_medium_10_0	exp_20260916T165346Z_lpt_medium_10	medium	1789578486	30000000000	1200	1789578527	1789578583	1789579727	17.20045	19.096486	1000000000	1	0	4	cluster-01	4	1000000000	1	1
29	exp_20260916T165346Z_lpt_medium_11_0	exp_20260916T165346Z_lpt_medium_11	medium	1789578486	30000000000	1200	1789578527	1789578573	1789579727	18.17738	19.065321	1000000000	1	0	3	cluster-02	4	1000000000	1	1
30	exp_20260916T165346Z_lpt_medium_12_0	exp_20260916T165346Z_lpt_medium_12	medium	1789578491	30000000000	1200	1789578532	1789578603	1789579732	18.04827	19.11289	1000000000	1	0	6	desktop-01	2	1000000000	1	1
31	exp_20260916T165346Z_lpt_long_1_0	exp_20260916T165346Z_lpt_long_1	long	1789578491	120000000000	3600	1789578510	1789578644	1789582110	47.8371	95.364512	1000000000	1	0	1	phone-02	1	1000000000	1	1
32	exp_20260916T165346Z_lpt_long_2_0	exp_20260916T165346Z_lpt_long_2	long	1789578491	120000000000	3600	1789578510	1789578649	1789582110	47.97532	95.392217	1000000000	1	0	2	phone-01	1	1000000000	1	1
33	exp_20260916T165346Z_lpt_long_3_0	exp_20260916T165346Z_lpt_long_3	long	1789578491	120000000000	3600	1789578510	1789578648	1789582110	83.3852	83.3852	1000000000	1	0	3	cluster-02	4	1000000000	1	1
34	exp_20260916T165346Z_lpt_long_4_0	exp_20260916T165346Z_lpt_long_4	long	1789578491	120000000000	3600	1789578515	1789578675	1789582115	83.19519	83.19519	1000000000	1	0	4	cluster-01	4	1000000000	1	1
35	exp_20260916T165346Z_lpt_long_5_0	exp_20260916T165346Z_lpt_long_5	long	1789578491	120000000000	3600	1789578515	1789578662	1789582115	93.33247	93.33247	1000000000	1	0	5	low-power-01	1	1000000000	1	1
36	exp_20260916T165346Z_lpt_long_6_0	exp_20260916T165346Z_lpt_long_6	long	1789578496	120000000000	3600	1789578520	1789578662	1789582120	84.00954	84.00954	1000000000	1	0	6	desktop-01	2	1000000000	1	1
