timestamp,node,action
1789578094.226479,cluster-01,start
1789578094.254946,cluster-02,start
1789578094.282214,desktop-01,start
1789578094.31124,low-power-01,start
1789578094.33841,phone-01,start
1789578094.3654761,phone-02,start
1789578129.673385,cluster-01,stop
1789578139.758595,cluster-02,stop
1789578141.855238,cluster-01,restart
1789578149.870139,desktop-01,stop
1789578151.955151,cluster-02,restart
1789578160.014763,low-power-01,stop
1789578162.219294,desktop-01,restart
1789578167.247305,cluster-01,stop
1789578170.044747,phone-01,stop
1789578172.2067142,low-power-01,restart
1789578177.303375,cluster-02,stop
1789578179.494148,cluster-01,restart
1789578180.1141918,phone-02,stop
1789578182.249752,phone-01,restart
1789578187.523354,desktop-01,stop
1789578189.495465,cluster-02,restart
1789578192.298956,phone-02,restart
1789578197.505237,low-power-01,stop
1789578199.7064478,desktop-01,restart
1789578204.779169,cluster-01,stop
1789578207.5113862,phone-01,stop
1789578209.650513,low-power-01,restart
1789578214.759228,cluster-02,stop
1789578216.9493911,cluster-01,restart
1789578217.571248,phone-02,stop
1789578219.642754,phone-01,restart
1789578224.998306,desktop-01,stop
1789578226.906153,cluster-02,restart
1789578229.716356,phone-02,restart
1789578234.885943,low-power-01,stop
1789578237.138656,desktop-01,restart
1789578242.177237,cluster-01,stop
1789578244.904831,phone-01,stop
1789578247.026589,low-power-01,restart
1789578252.143308,cluster-02,stop
1789578254.324595,cluster-01,restart
1789578254.9565141,phone-02,stop
1789578257.0591319,phone-01,restart
1789578262.37579,desktop-01,stop
1789578264.28238,cluster-02,restart
1789578267.1101189,phone-02,restart
1789578272.254765,low-power-01,stop
1789578274.516762,desktop-01,restart
1789578279.555964,cluster-01,stop
1789578282.313057,phone-01,stop
1789578284.4077199,low-power-01,restart
1789578289.6483252,cluster-02,stop
1789578291.7342021,cluster-01,restart
1789578292.3913841,phone-02,stop
1789578294.5070112,phone-01,restart
1789578299.805344,desktop-01,stop
1789578301.8257952,cluster-02,restart
1789578304.517513,phone-02,restart
1789578309.6977909,low-power-01,stop
1789578311.950484,desktop-01,restart
1789578316.989182,cluster-01,stop
1789578319.731602,phone-01,stop
1789578321.8547819,low-power-01,restart
1789578327.061059,cluster-02,stop
1789578329.1388018,cluster-01,restart
1789578329.829488,phone-02,stop
1789578331.928138,phone-01,restart
1789578337.228645,desktop-01,stop
1789578339.216994,cluster-02,restart
1789578341.982656,phone-02,restart
1789578347.1371572,low-power-01,stop
1789578349.3971531,desktop-01,restart
1789578354.367933,cluster-01,stop
1789578357.200578,phone-01,stop
1789578359.296575,low-power-01,restart
1789578364.495591,cluster-02,stop
1789578366.551784,cluster-01,restart
1789578367.291839,phone-02,stop
1789578369.384502,phone-01,restart
1789578374.702739,desktop-01,stop
1789578376.676219,cluster-02,restart
1789578379.483152,phone-02,restart
