timestamp,node,action
1789579629.415071,cluster-01,start
1789579629.44695,cluster-02,start
1789579629.476234,desktop-01,start
1789579629.505686,low-power-01,start
1789579629.535944,phone-01,start
1789579629.566805,phone-02,start
1789579664.919874,cluster-01,stop
1789579675.007105,cluster-02,stop
1789579677.0933619,cluster-01,restart
1789579685.072962,desktop-01,stop
1789579687.265495,cluster-02,restart
1789579695.134947,low-power-01,stop
1789579697.2841,desktop-01,restart
1789579702.411459,cluster-01,stop
1789579705.237094,phone-01,stop
1789579707.336488,low-power-01,restart
1789579712.563623,cluster-02,stop
1789579714.629691,cluster-01,restart
1789579715.320301,phone-02,stop
1789579717.476342,phone-01,restart
1789579722.5894809,desktop-01,stop
1789579724.7556648,cluster-02,restart
1789579727.507154,phone-02,restart
1789579732.666635,low-power-01,stop
1789579734.7807171,desktop-01,restart
1789579739.9108758,cluster-01,stop
1789579742.754218,phone-01,stop
1789579744.818578,low-power-01,restart
1789579750.011159,cluster-02,stop
1789579752.060288,cluster-01,restart
1789579752.756327,phone-02,stop
1789579754.880115,phone-01,restart
1789579760.0368278,desktop-01,stop
1789579762.19327,cluster-02,restart
1789579764.961282,phone-02,restart
1789579770.124203,low-power-01,stop
1789579772.20988,desktop-01,restart
1789579777.324907,cluster-01,stop
1789579780.153226,phone-01,stop
1789579782.2833269,low-power-01,restart
1789579787.414718,cluster-02,stop
1789579789.4683158,cluster-01,restart
1789579790.233475,phone-02,stop
1789579792.309324,phone-01,restart
1789579797.4433439,desktop-01,stop
1789579799.557823,cluster-02,restart
1789579802.3929422,phone-02,restart
1789579807.5250728,low-power-01,stop
1789579809.590963,desktop-01,restart
1789579814.705291,cluster-01,stop
1789579817.5452201,phone-01,stop
1789579819.678226,low-power-01,restart
1789579824.816896,cluster-02,stop
1789579826.88593,cluster-01,restart
1789579827.6645892,phone-02,stop
1789579829.737067,phone-01,restart
1789579834.84901,desktop-01,stop
1789579836.987803,cluster-02,restart
1789579839.791005,phone-02,restart
1789579844.9395971,low-power-01,stop
1789579847.003445,desktop-01,restart
1789579852.138217,cluster-01,stop
1789579855.003388,phone-01,stop
1789579857.101887,low-power-01,restart
