timestamp,node,action
1789578832.8086138,cluster-01,start
1789578832.837675,cluster-02,start
1789578832.865845,desktop-01,start
1789578832.893462,low-power-01,start
1789578832.9206378,phone-01,start
1789578832.9481542,phone-02,start
1789578868.276722,cluster-01,stop
1789578878.313133,cluster-02,stop
1789578880.429652,cluster-01,restart
1789578888.4177449,desktop-01,stop
1789578890.480791,cluster-02,restart
1789578898.530634,low-power-01,stop
1789578900.601731,desktop-01,restart
1789578905.771169,cluster-01,stop
1789578908.5987341,phone-01,stop
1789578910.773538,low-power-01,restart
1789578915.749593,cluster-02,stop
1789578918.001068,cluster-01,restart
1789578918.670321,phone-02,stop
1789578920.775844,phone-01,restart
1789578925.90835,desktop-01,stop
1789578928.022209,cluster-02,restart
1789578930.863681,phone-02,restart
1789578936.108062,low-power-01,stop
1789578938.0997472,desktop-01,restart
1789578943.25486,cluster-01,stop
1789578946.0525599,phone-01,stop
1789578948.254217,low-power-01,restart
1789578953.279756,cluster-02,stop
1789578955.3968902,cluster-01,restart
1789578956.158367,phone-02,stop
1789578958.246592,phone-01,restart
1789578963.39155,desktop-01,stop
1789578965.46354,cluster-02,restart
1789578968.343342,phone-02,restart
1789578973.549152,low-power-01,stop
1789578975.618423,desktop-01,restart
1789578980.7491908,cluster-01,stop
1789578983.5065238,phone-01,stop
1789578985.706836,low-power-01,restart
1789578990.700511,cluster-02,stop
1789578992.904164,cluster-01,restart
1789578993.62193,phone-02,stop
1789578995.691874,phone-01,restart
1789579000.931741,desktop-01,stop
1789579002.896852,cluster-02,restart
1789579005.8204548,phone-02,restart
1789579011.009587,low-power-01,stop
1789579013.11595,desktop-01,restart
1789579018.157472,cluster-01,stop
1789579020.966858,phone-01,stop
1789579023.151874,low-power-01,restart
1789579028.14765,cluster-02,stop
1789579030.303595,cluster-01,restart
1789579031.077636,phone-02,stop
1789579033.097427,phone-01,restart
1789579038.349206,desktop-01,stop
1789579040.297371,cluster-02,restart
1789579043.2390132,phone-02,restart
1789579048.395398,low-power-01,stop
1789579050.4841442,desktop-01,restart
1789579055.5890539,cluster-01,stop
1789579058.36384,phone-01,stop
1789579060.577949,low-power-01,restart
1789579065.5998468,cluster-02,stop
1789579067.769624,cluster-01,restart
1789579068.548518,phone-02,stop
1789579070.571887,phone-01,restart
