timestamp,node,action
1789580008.233168,cluster-01,start
1789580008.2622101,cluster-02,start
1789580008.289801,desktop-01,start
1789580008.3165529,low-power-01,start
1789580008.344991,phone-01,start
1789580008.372455,phone-02,start
1789580043.6704488,cluster-01,stop
1789580053.694947,cluster-02,stop
1789580055.8195698,cluster-01,restart
1789580063.840344,desktop-01,stop
1789580065.86632,cluster-02,restart
1789580073.936579,low-power-01,stop
1789580076.1140978,desktop-01,restart
1789580081.18786,cluster-01,stop
1789580084.030432,phone-01,stop
1789580086.176044,low-power-01,restart
1789580091.2446342,cluster-02,stop
1789580093.379034,cluster-01,restart
1789580094.079618,phone-02,stop
1789580096.232081,phone-01,restart
1789580101.4386592,desktop-01,stop
1789580103.441563,cluster-02,restart
1789580106.3309,phone-02,restart
1789580111.450297,low-power-01,stop
1789580113.6051562,desktop-01,restart
1789580118.682286,cluster-01,stop
1789580121.480387,phone-01,stop
1789580123.605757,low-power-01,restart
1789580128.6712809,cluster-02,stop
1789580130.8357859,cluster-01,restart
1789580131.579602,phone-02,stop
1789580133.67156,phone-01,restart
1789580138.891802,desktop-01,stop
1789580140.834933,cluster-02,restart
1789580143.743057,phone-02,restart
1789580148.847789,low-power-01,stop
1789580151.0603452,desktop-01,restart
1789580156.1118898,cluster-01,stop
1789580158.9542232,phone-01,stop
1789580160.994721,low-power-01,restart
1789580166.090139,cluster-02,stop
1789580168.293588,cluster-01,restart
1789580169.0526211,phone-02,stop
1789580171.146844,phone-01,restart
1789580176.321889,desktop-01,stop
1789580178.244967,cluster-02,restart
1789580181.2096488,phone-02,restart
1789580186.229742,low-power-01,stop
1789580188.482189,desktop-01,restart
1789580193.550262,cluster-01,stop
1789580196.403596,phone-01,stop
1789580198.3710442,low-power-01,restart
1789580203.477516,cluster-02,stop
1789580205.66911,cluster-01,restart
1789580206.4447732,phone-02,stop
1789580208.5283709,phone-01,restart
1789580213.757001,desktop-01,stop
1789580215.632921,cluster-02,restart
1789580218.619431,phone-02,restart
1789580223.670017,low-power-01,stop
1789580225.9447832,desktop-01,restart
1789580230.989104,cluster-01,stop
1789580233.825469,phone-01,stop
1789580235.827822,low-power-01,restart
1789580240.9111161,cluster-02,stop
