timestamp,node,action
1789637492.6560152,cluster-01,start
1789637492.68418,cluster-02,start
1789637492.7117429,desktop-01,start
1789637492.738561,low-power-01,start
1789637492.766659,phone-01,start
1789637492.794346,phone-02,start
1789637533.1792672,cluster-01,stop
1789637543.325809,cluster-02,stop
1789637553.402945,desktop-01,stop
1789637563.363081,low-power-01,stop
1789637563.436511,cluster-01,restart
1789637573.4869828,phone-01,stop
1789637573.61299,cluster-02,restart
1789637583.602533,phone-02,stop
1789637583.730773,desktop-01,restart
1789637593.802598,low-power-01,restart
1789637593.8538618,cluster-01,stop
1789637603.870691,phone-01,restart
1789637603.968012,cluster-02,stop
1789637613.903595,phone-02,restart
1789637614.0075488,desktop-01,stop
1789637624.087913,low-power-01,stop
1789637624.158219,cluster-01,restart
1789637634.202742,phone-01,stop
1789637634.25895,cluster-02,restart
1789637644.315401,phone-02,stop
1789637644.378544,desktop-01,restart
1789637654.361332,low-power-01,restart
1789637654.4648829,cluster-01,stop
1789637664.493885,phone-01,restart
1789637664.537615,cluster-02,stop
1789637674.592584,phone-02,restart
1789637674.638329,desktop-01,stop
1789637684.698831,low-power-01,stop
1789637684.7372549,cluster-01,restart
1789637694.819904,phone-01,stop
1789637694.856961,cluster-02,restart
1789637704.970457,desktop-01,restart
1789637705.0161972,phone-02,stop
1789637715.0628312,low-power-01,restart
1789637715.1162298,cluster-01,stop
1789637725.161381,phone-01,restart
1789637725.2028348,cluster-02,stop
