result_id	result_name	workunit_name	work_class	wu_create_time	rsc_fpops_est	delay_bound	sent_time	received_time	report_deadline	cpu_time	elapsed_time	flops_estimate	outcome	exit_status	host_id	domain_name	p_ncpus	p_fpops	on_frac	active_frac
1	exp_20260917T092942Z_hybrid_short_1_0	exp_20260917T092942Z_hybrid_short_1	short	1789638929	5000000000	600	1789639007	1789639042	1789639607	2.996433	7.046047	1000000000	1	0	1	phone-02	1	1000000000	1	1
2	exp_20260917T092942Z_hybrid_short_2_0	exp_20260917T092942Z_hybrid_short_2	short	1789638934	5000000000	600	1789639012	1789639047	1789639612	3.003296	7.038787	1000000000	1	0	4	phone-01	1	1000000000	1	1
3	exp_20260917T092942Z_hybrid_short_3_0	exp_20260917T092942Z_hybrid_short_3	short	1789638934	5000000000	600	1789639024	1789639059	1789639624	3.566727	9.019557	1000000000	1	0	1	phone-02	1	1000000000	1	1
4	exp_20260917T092942Z_hybrid_short_4_0	exp_20260917T092942Z_hybrid_short_4	short	1789638934	5000000000	600	1789639047	1789639076	1789639647	2.577924	7.026348	1000000000	1	0	4	phone-01	1	1000000000	1	1
5	exp_20260917T092942Z_hybrid_short_5_0	exp_20260917T092942Z_hybrid_short_5	short	1789638939	5000000000	600	1789639029	1789639059	1789639629	3.555991	8.084196	1000000000	1	0	4	phone-01	1	1000000000	1	1
6	exp_20260917T092942Z_hybrid_short_6_0	exp_20260917T092942Z_hybrid_short_6	short	1789638939	5000000000	600	1789639042	1789639198	1789639642	5.026237	7.016769	1000000000	1	0	2	cluster-02	4	1000000000	1	1
7	exp_20260917T092942Z_hybrid_short_7_0	exp_20260917T092942Z_hybrid_short_7	short	1789638939	5000000000	600	1789639042	1789639071	1789639642	2.577298	7.033986	1000000000	1	0	1	phone-02	1	1000000000	1	1
8	exp_20260917T092942Z_hybrid_short_8_0	exp_20260917T092942Z_hybrid_short_8	short	1789638944	5000000000	600	1789639054	1789639111	1789639654	5.064598	7.017504	1000000000	1	0	3	desktop-01	2	1000000000	1	1
9	exp_20260917T092942Z_hybrid_short_9_0	exp_20260917T092942Z_hybrid_short_9	short	1789638944	5000000000	600	1789639059	1789639083	1789639659	2.549518	7.031475	1000000000	1	0	1	phone-02	1	1000000000	1	1
10	exp_20260917T092942Z_hybrid_short_10_0	exp_20260917T092942Z_hybrid_short_10	short	1789638944	5000000000	600	1789639059	1789639117	1789639659	2.568142	7.031522	1000000000	1	0	4	phone-01	1	1000000000	1	1
