result_id	result_name	workunit_name	work_class	wu_create_time	rsc_fpops_est	delay_bound	sent_time	received_time	report_deadline	cpu_time	elapsed_time	flops_estimate	outcome	exit_status	host_id	domain_name	p_ncpus	p_fpops	on_frac	active_frac
1	exp_20260917T092942Z_random_short_1_0	exp_20260917T092942Z_random_short_1	short	1789637804	5000000000	600	1789637973	1789638024	1789638573	4.991584	6.037316	1000000000	1	0	3	cluster-02	4	1000000000	1	1
2	exp_20260917T092942Z_random_short_2_0	exp_20260917T092942Z_random_short_2	short	1789637804	5000000000	600	1789637962	1789638034	1789638562	4.966352	7.030966	1000000000	1	0	6	desktop-01	2	1000000000	1	1
3	exp_20260917T092942Z_random_short_3_0	exp_20260917T092942Z_random_short_3	short	1789637804	5000000000	600	1789637956	1789638012	1789638556	4.980821	8.017986	1000000000	1	0	3	cluster-02	4	1000000000	1	1
4	exp_20260917T092942Z_random_short_4_0	exp_20260917T092942Z_random_short_4	short	1789637809	5000000000	600	1789637948	1789638014	1789638548	5.033854	6.039398	1000000000	1	0	1	cluster-01	4	1000000000	1	1
5	exp_20260917T092942Z_random_short_5_0	exp_20260917T092942Z_random_short_5	short	1789637809	5000000000	600	1789637956	1789638012	1789638556	4.980453	9.024402	1000000000	1	0	3	cluster-02	4	1000000000	1	1
6	exp_20260917T092942Z_random_short_6_0	exp_20260917T092942Z_random_short_6	short	1789637809	5000000000	600	1789637911	1789637973	1789638511	4.992692	7.024873	1000000000	1	0	3	cluster-02	4	1000000000	1	1
7	exp_20260917T092942Z_random_short_7_0	exp_20260917T092942Z_random_short_7	short	1789637809	5000000000	600	1789637948	1789638014	1789638548	5.055913	7.0399	1000000000	1	0	1	cluster-01	4	1000000000	1	1
8	exp_20260917T092942Z_random_short_8_0	exp_20260917T092942Z_random_short_8	short	1789637809	5000000000	600	1789637973	1789638024	1789638573	5.033496	7.038369	1000000000	1	0	3	cluster-02	4	1000000000	1	1
9	exp_20260917T092942Z_random_short_9_0	exp_20260917T092942Z_random_short_9	short	1789637814	5000000000	600	1789637956	1789638012	1789638556	3.933036	5.040725	1000000000	1	0	3	cluster-02	4	1000000000	1	1
10	exp_20260917T092942Z_random_short_10_0	exp_20260917T092942Z_random_short_10	short	1789637814	5000000000	600	1789637937	1789638014	1789638537	4.971633	7.025138	1000000000	1	0	1	cluster-01	4	1000000000	1	1
11	exp_20260917T092942Z_random_short_11_0	exp_20260917T092942Z_random_short_11	short	1789637814	5000000000	600	1789637911	1789637973	1789638511	4.980993	7.01943	1000000000	1	0	3	cluster-02	4	1000000000	1	1
12	exp_20260917T092942Z_random_short_12_0	exp_20260917T092942Z_random_short_12	short	1789637819	5000000000	600	1789637911	1789637973	1789638511	4.982888	7.02487	1000000000	1	0	3	cluster-02	4	1000000000	1	1
13	exp_20260917T092942Z_random_short_13_0	exp_20260917T092942Z_random_short_13	short	1789637819	5000000000	600	1789637937	1789638014	1789638537	5.001813	7.026409	1000000000	1	0	1	cluster-01	4	1000000000	1	1
14	exp_20260917T092942Z_random_short_14_0	exp_20260917T092942Z_random_short_14	short	1789637824	5000000000	600	1789637956	1789638012	1789638556	5.07729	7.017346	1000000000	1	0	3	cluster-02	4	1000000000	1	1
