apache-1  | /usr/lib/python2.7/dist-packages/supervisor/options.py:461: UserWarning: Supervisord is running as root and it is searching for its configuration file in default locations (including its current working directory); you probably want to specify a "-c" argument specifying an absolute path to a configuration file for improved security.
apache-1  |   'Supervisord is running as root and it is searching '
apache-1  | 2026-09-16 18:02:15,302 CRIT Supervisor is running as root.  Privileges were not dropped because no user is specified in the config file.  If you intend to run as root, you can set user=root in the config file to avoid this message.
apache-1  | 2026-09-16 18:02:15,302 INFO Included extra file "/etc/supervisor/conf.d/supervisord.conf" during parsing
apache-1  | 2026-09-16 18:02:15,305 INFO RPC interface 'supervisor' initialized
apache-1  | 2026-09-16 18:02:15,305 CRIT Server 'unix_http_server' running without any HTTP authentication checking
apache-1  | 2026-09-16 18:02:15,305 INFO supervisord started with pid 1
apache-1  | 2026-09-16 18:02:16,314 INFO spawned: 'cron' with pid 9
apache-1  | 2026-09-16 18:02:16,318 INFO spawned: 'start' with pid 10
apache-1  | 2026-09-16 18:02:16,322 INFO spawned: 'rsyslogd' with pid 11
apache-1  | 2026-09-16 18:02:16,326 INFO spawned: 'apache2' with pid 12
apache-1  | 2026-09-16 18:02:18,283 INFO success: cron entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 18:02:18,283 INFO success: start entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 18:02:18,283 INFO success: rsyslogd entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 18:02:18,283 INFO success: apache2 entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 18:02:31,816 INFO reaped unknown pid 64
apache-1  | 2026-09-16 18:02:31,816 INFO reaped unknown pid 66
apache-1  | 2026-09-16 18:02:31,816 INFO reaped unknown pid 68
apache-1  | 2026-09-16 18:02:33,430 INFO reaped unknown pid 67
apache-1  | 2026-09-16 18:02:33,430 INFO reaped unknown pid 69
apache-1  | 2026-09-16 18:02:33,431 INFO reaped unknown pid 65
apache-1  | 2026-09-16 18:02:41,641 INFO reaped unknown pid 160
apache-1  | 2026-09-16 18:02:41,642 INFO reaped unknown pid 162
apache-1  | 2026-09-16 18:02:41,642 INFO reaped unknown pid 164
apache-1  | 2026-09-16 18:02:41,642 INFO reaped unknown pid 166
apache-1  | 2026-09-16 18:02:41,642 INFO reaped unknown pid 168
apache-1  | 2026-09-16 18:05:01,377 INFO reaped unknown pid 355
apache-1  | 2026-09-16 18:05:01,479 INFO reaped unknown pid 357
apache-1  | 2026-09-16 18:05:01,586 INFO reaped unknown pid 359
apache-1  | 2026-09-16 18:05:01,685 INFO reaped unknown pid 361
apache-1  | 2026-09-16 18:05:01,786 INFO reaped unknown pid 363
apache-1  | 2026-09-16 18:05:02,803 INFO reaped unknown pid 354
apache-1  | 2026-09-16 18:05:02,804 INFO reaped unknown pid 356
apache-1  | 2026-09-16 18:05:02,804 INFO reaped unknown pid 358
apache-1  | 2026-09-16 18:05:02,804 INFO reaped unknown pid 360
apache-1  | 2026-09-16 18:05:02,804 INFO reaped unknown pid 362
apache-1  | 2026-09-16 18:05:02,804 INFO reaped unknown pid 365
apache-1  | 2026-09-16 18:05:02,804 INFO reaped unknown pid 369
apache-1  | 2026-09-16 18:05:02,804 INFO reaped unknown pid 371
apache-1  | 2026-09-16 18:05:02,804 INFO reaped unknown pid 373
apache-1  | 2026-09-16 18:05:02,804 INFO reaped unknown pid 376
apache-1  | 2026-09-16 18:05:02,804 INFO reaped unknown pid 378
apache-1  | 2026-09-16 18:05:02,804 INFO reaped unknown pid 382
apache-1  | 2026-09-16 18:05:06,900 INFO reaped unknown pid 364
apache-1  | 2026-09-16 18:05:07,638 INFO reaped unknown pid 380
