timestamp,node,action
1789583238.04992,cluster-01,start
1789583238.0807092,cluster-02,start
1789583238.109937,desktop-01,start
1789583238.1397,low-power-01,start
1789583238.168757,phone-01,start
1789583238.19755,phone-02,start
1789583288.793893,cluster-01,stop
1789583298.894217,cluster-02,stop
1789583298.978919,cluster-01,restart
1789583309.018475,desktop-01,stop
1789583309.089727,cluster-02,restart
1789583319.107936,low-power-01,stop
1789583319.221329,desktop-01,restart
1789583329.1466858,phone-01,stop
1789583329.29854,low-power-01,restart
1789583339.2197802,phone-02,stop
1789583339.324922,phone-01,restart
1789583339.387022,cluster-01,stop
1789583349.3344882,phone-02,restart
1789583349.504887,cluster-02,stop
1789583349.540691,cluster-01,restart
1789583359.60397,desktop-01,stop
1789583359.661416,cluster-02,restart
1789583369.698981,low-power-01,stop
1789583369.785181,desktop-01,restart
1789583379.665748,phone-01,stop
1789583379.8630028,low-power-01,restart
1789583389.68827,phone-02,stop
1789583389.793629,phone-01,restart
1789583389.885461,cluster-01,stop
1789583399.83904,phone-02,restart
1789583400.0583029,cluster-01,restart
1789583400.096641,cluster-02,stop
1789583410.1576672,desktop-01,stop
1789583410.238546,cluster-02,restart
1789583420.212859,low-power-01,stop
1789583420.2934499,desktop-01,restart
1789583430.184387,phone-01,stop
1789583430.331553,low-power-01,restart
1789583440.1926951,phone-02,stop
1789583440.319268,phone-01,restart
1789583440.387997,cluster-01,stop
1789583450.372494,phone-02,restart
1789583450.5478919,cluster-01,restart
1789583450.579221,cluster-02,stop
1789583460.663732,desktop-01,stop
1789583460.6949382,cluster-02,restart
1789583470.692051,low-power-01,stop
1789583470.784256,desktop-01,restart
1789583480.685029,phone-01,stop
1789583480.814542,low-power-01,restart
1789583490.724403,phone-02,stop
1789583490.812261,phone-01,restart
1789583490.868701,cluster-01,stop
1789583500.896533,phone-02,restart
1789583501.0008771,cluster-01,restart
1789583501.038914,cluster-02,stop
1789583511.166749,desktop-01,stop
1789583511.197814,cluster-02,restart
