result_id	result_name	workunit_name	work_class	wu_create_time	rsc_fpops_est	delay_bound	sent_time	received_time	report_deadline	cpu_time	elapsed_time	flops_estimate	outcome	exit_status	host_id	domain_name	p_ncpus	p_fpops	on_frac	active_frac
1	exp_20260916T180210Z_sjf_short_1_0	exp_20260916T180210Z_sjf_short_1	short	1789582813	5000000000	600	1789582896	1789582926	1789583496	3.077183	8.032437	1000000000	1	0	4	phone-02	1	1000000000	1	1
2	exp_20260916T180210Z_sjf_short_2_0	exp_20260916T180210Z_sjf_short_2	short	1789582818	5000000000	600	1789582891	1789582916	1789583491	5.9564	7.049384	1000000000	1	0	1	desktop-01	2	1000000000	1	1
3	exp_20260916T180210Z_sjf_short_3_0	exp_20260916T180210Z_sjf_short_3	short	1789582818	5000000000	600	1789582896	1789582926	1789583496	3.077107	8.032154	1000000000	1	0	3	phone-01	1	1000000000	1	1
4	exp_20260916T180210Z_sjf_short_4_0	exp_20260916T180210Z_sjf_short_4	short	1789582818	5000000000	600	1789582891	1789582921	1789583491	5.09703	7.036171	1000000000	1	0	2	cluster-01	4	1000000000	1	1
5	exp_20260916T180210Z_sjf_short_5_0	exp_20260916T180210Z_sjf_short_5	short	1789582823	5000000000	600	1789582896	1789582926	1789583496	6.075275	8.035581	1000000000	1	0	5	low-power-01	1	1000000000	1	1
6	exp_20260916T180210Z_sjf_short_6_0	exp_20260916T180210Z_sjf_short_6	short	1789582823	5000000000	600	1789582897	1789582926	1789583497	5.08199	7.027878	1000000000	1	0	6	cluster-02	4	1000000000	1	1
7	exp_20260916T180210Z_sjf_short_7_0	exp_20260916T180210Z_sjf_short_7	short	1789582823	5000000000	600	1789582904	1789582928	1789583504	5.08143	8.021974	1000000000	1	0	1	desktop-01	2	1000000000	1	1
8	exp_20260916T180210Z_sjf_short_8_0	exp_20260916T180210Z_sjf_short_8	short	1789582823	5000000000	600	1789582904	1789582928	1789583504	5.079809	7.019899	1000000000	1	0	1	desktop-01	2	1000000000	1	1
9	exp_20260916T180210Z_sjf_short_9_0	exp_20260916T180210Z_sjf_short_9	short	1789582828	5000000000	600	1789582904	1789582941	1789583504	4.986175	9.038238	1000000000	1	0	2	cluster-01	4	1000000000	1	1
10	exp_20260916T180210Z_sjf_short_10_0	exp_20260916T180210Z_sjf_short_10	short	1789582828	5000000000	600	1789582904	1789582941	1789583504	4.988493	10.042556	1000000000	1	0	2	cluster-01	4	1000000000	1	1
11	exp_20260916T180210Z_sjf_short_11_0	exp_20260916T180210Z_sjf_short_11	short	1789582828	5000000000	600	1789582904	1789582941	1789583504	5.07767	8.033592	1000000000	1	0	2	cluster-01	4	1000000000	1	1
12	exp_20260916T180210Z_sjf_short_12_0	exp_20260916T180210Z_sjf_short_12	short	1789582833	5000000000	600	1789582904	1789582941	1789583504	4.988649	7.02991	1000000000	1	0	2	cluster-01	4	1000000000	1	1
13	exp_20260916T180210Z_sjf_short_13_0	exp_20260916T180210Z_sjf_short_13	short	1789582833	5000000000	600	1789582909	1789582938	1789583509	3.049805	8.019995	1000000000	1	0	4	phone-02	1	1000000000	1	1
14	exp_20260916T180210Z_sjf_short_14_0	exp_20260916T180210Z_sjf_short_14	short	1789582833	5000000000	600	1789582914	1789582943	1789583514	3.059882	8.01873	1000000000	1	0	3	phone-01	1	1000000000	1	1
15	exp_20260916T180210Z_sjf_short_15_0	exp_20260916T180210Z_sjf_short_15	short	1789582838	5000000000	600	1789582914	1789582943	1789583514	5.071802	7.017007	1000000000	1	0	5	low-power-01	1	1000000000	1	1
16	exp_20260916T180210Z_sjf_short_16_0	exp_20260916T180210Z_sjf_short_16	short	1789582838	5000000000	600	1789582914	1789582938	1789583514	5.068157	7.017596	1000000000	1	0	6	cluster-02	4	1000000000	1	1
17	exp_20260916T180210Z_sjf_short_17_0	exp_20260916T180210Z_sjf_short_17	short	1789582838	5000000000	600	1789582914	1789582938	1789583514	4.974554	9.031304	1000000000	1	0	6	cluster-02	4	1000000000	1	1
18	exp_20260916T180210Z_sjf_short_18_0	exp_20260916T180210Z_sjf_short_18	short	1789582843	5000000000	600	1789582914	1789582938	1789583514	4.982122	8.018601	1000000000	1	0	6	cluster-02	4	1000000000	1	1
19	exp_20260916T180210Z_sjf_medium_1_0	exp_20260916T180210Z_sjf_medium_1	medium	1789582843	30000000000	1200	1789582914	1789582963	1789584114	22.26458	23.098768	1000000000	1	0	6	cluster-02	4	1000000000	1	1
20	exp_20260916T180210Z_sjf_medium_2_0	exp_20260916T180210Z_sjf_medium_2	medium	1789582843	30000000000	1200	1789582916	1789582976	1789584116	30.48068	32.074069	1000000000	1	0	1	desktop-01	2	1000000000	1	1
21	exp_20260916T180210Z_sjf_medium_3_0	exp_20260916T180210Z_sjf_medium_3	medium	1789582848	30000000000	1200	1789582916	1789582976	1789584116	30.38801	31.073144	1000000000	1	0	1	desktop-01	2	1000000000	1	1
