result_id	result_name	workunit_name	work_class	wu_create_time	rsc_fpops_est	delay_bound	sent_time	received_time	report_deadline	cpu_time	elapsed_time	flops_estimate	outcome	exit_status	host_id	domain_name	p_ncpus	p_fpops	on_frac	active_frac
1	exp_20260917T084802Z_weighted_least_loaded_short_1_0	exp_20260917T084802Z_weighted_least_loaded_short_1	short	1789636994	5000000000	600	1789637063	1789637096	1789637663	5.082737	7.055655	1000000000	1	0	1	low-power-01	1	1000000000	1	1
2	exp_20260917T084802Z_weighted_least_loaded_short_2_0	exp_20260917T084802Z_weighted_least_loaded_short_2	short	1789636994	5000000000	600	1789637068	1789637102	1789637668	5.093679	7.033344	1000000000	1	0	4	cluster-01	4	1000000000	1	1
3	exp_20260917T084802Z_weighted_least_loaded_short_3_0	exp_20260917T084802Z_weighted_least_loaded_short_3	short	1789636999	5000000000	600	1789637063	1789637091	1789637663	5.097196	7.04208	1000000000	1	0	3	cluster-02	4	1000000000	1	1
4	exp_20260917T084802Z_weighted_least_loaded_short_4_0	exp_20260917T084802Z_weighted_least_loaded_short_4	short	1789636999	5000000000	600	1789637063	1789637087	1789637663	2.584554	7.066306	1000000000	1	0	2	phone-01	1	1000000000	1	1
5	exp_20260917T084802Z_weighted_least_loaded_short_5_0	exp_20260917T084802Z_weighted_least_loaded_short_5	short	1789636999	5000000000	600	1789637068	1789637097	1789637668	2.586689	7.044082	1000000000	1	0	5	phone-02	1	1000000000	1	1
6	exp_20260917T084802Z_weighted_least_loaded_short_6_0	exp_20260917T084802Z_weighted_least_loaded_short_6	short	1789637004	5000000000	600	1789637073	1789637102	1789637673	6.09213	8.036015	1000000000	1	0	6	desktop-01	2	1000000000	1	1
7	exp_20260917T084802Z_weighted_least_loaded_short_7_0	exp_20260917T084802Z_weighted_least_loaded_short_7	short	1789637004	5000000000	600	1789637080	1789637108	1789637680	4.983773	7.015787	1000000000	1	0	1	low-power-01	1	1000000000	1	1
8	exp_20260917T084802Z_weighted_least_loaded_short_8_0	exp_20260917T084802Z_weighted_least_loaded_short_8	short	1789637004	5000000000	600	1789637080	1789637103	1789637680	5.083022	10.024038	1000000000	1	0	3	cluster-02	4	1000000000	1	1
9	exp_20260917T084802Z_weighted_least_loaded_short_9_0	exp_20260917T084802Z_weighted_least_loaded_short_9	short	1789637009	5000000000	600	1789637075	1789637104	1789637675	3.067311	8.027423	1000000000	1	0	2	phone-01	1	1000000000	1	1
10	exp_20260917T084802Z_weighted_least_loaded_short_10_0	exp_20260917T084802Z_weighted_least_loaded_short_10	short	1789637009	5000000000	600	1789637085	1789637112	1789637685	4.98046	8.018028	1000000000	1	0	4	cluster-01	4	1000000000	1	1
11	exp_20260917T084802Z_weighted_least_loaded_short_11_0	exp_20260917T084802Z_weighted_least_loaded_short_11	short	1789637009	5000000000	600	1789637085	1789637114	1789637685	3.087277	8.019643	1000000000	1	0	5	phone-02	1	1000000000	1	1
12	exp_20260917T084802Z_weighted_least_loaded_short_12_0	exp_20260917T084802Z_weighted_least_loaded_short_12	short	1789637014	5000000000	600	1789637080	1789637103	1789637680	5.09118	9.019418	1000000000	1	0	3	cluster-02	4	1000000000	1	1
