result_id	result_name	workunit_name	work_class	wu_create_time	rsc_fpops_est	delay_bound	sent_time	received_time	report_deadline	cpu_time	elapsed_time	flops_estimate	outcome	exit_status	host_id	domain_name	p_ncpus	p_fpops	on_frac	active_frac
1	exp_20260916T154418Z_baseline_short_1_0	exp_20260916T154418Z_baseline_short_1	short	1789573524	5000000000	600	1789573593	1789573617	1789574193	5.970336	7.044289	1000000000	1	0	1	cluster-01	4	1000000000	1	1
2	exp_20260916T154418Z_baseline_short_2_0	exp_20260916T154418Z_baseline_short_2	short	1789573524	5000000000	600	1789573622	1789573673	1789574222	4.941533	7.048868	1000000000	1	0	2	cluster-02	4	1000000000	1	1
3	exp_20260916T154418Z_baseline_short_3_0	exp_20260916T154418Z_baseline_short_3	short	1789573529	5000000000	600	1789573617	1789573658	1789574217	4.987582	7.048758	1000000000	1	0	1	cluster-01	4	1000000000	1	1
4	exp_20260916T154418Z_baseline_short_4_0	exp_20260916T154418Z_baseline_short_4	short	1789573529	5000000000	600	1789573617	1789573646	1789574217	6.028079	8.017972	1000000000	1	0	1	cluster-01	4	1000000000	1	1
5	exp_20260916T154418Z_baseline_short_5_0	exp_20260916T154418Z_baseline_short_5	short	1789573529	5000000000	600	1789573617	1789573646	1789574217	5.967698	8.031607	1000000000	1	0	1	cluster-01	4	1000000000	1	1
6	exp_20260916T154418Z_baseline_short_6_0	exp_20260916T154418Z_baseline_short_6	short	1789573529	5000000000	600	1789573617	1789573658	1789574217	4.981288	7.041001	1000000000	1	0	1	cluster-01	4	1000000000	1	1
7	exp_20260916T154418Z_baseline_short_7_0	exp_20260916T154418Z_baseline_short_7	short	1789573534	5000000000	600	1789573627	1789573656	1789574227	3.587126	9.047568	1000000000	1	0	5	phone-01	1	1000000000	1	1
8	exp_20260916T154418Z_baseline_short_8_0	exp_20260916T154418Z_baseline_short_8	short	1789573534	5000000000	600	1789573629	1789573658	1789574229	4.982661	7.043146	1000000000	1	0	1	cluster-01	4	1000000000	1	1
9	exp_20260916T154418Z_baseline_short_9_0	exp_20260916T154418Z_baseline_short_9	short	1789573539	5000000000	600	1789573622	1789573661	1789574222	4.976877	7.020918	1000000000	1	0	2	cluster-02	4	1000000000	1	1
10	exp_20260916T154418Z_baseline_short_10_0	exp_20260916T154418Z_baseline_short_10	short	1789573539	5000000000	600	1789573622	1789573661	1789574222	4.848639	7.011951	1000000000	1	0	2	cluster-02	4	1000000000	1	1
11	exp_20260916T154418Z_baseline_short_11_0	exp_20260916T154418Z_baseline_short_11	short	1789573539	5000000000	600	1789573605	1789573629	1789574205	4.988454	7.016824	1000000000	1	0	1	cluster-01	4	1000000000	1	1
12	exp_20260916T154418Z_baseline_short_12_0	exp_20260916T154418Z_baseline_short_12	short	1789573539	5000000000	600	1789573644	1789573697	1789574244	4.976013	7.023678	1000000000	1	0	3	desktop-01	2	1000000000	1	1
