result_id	result_name	workunit_name	work_class	wu_create_time	rsc_fpops_est	delay_bound	sent_time	received_time	report_deadline	cpu_time	elapsed_time	flops_estimate	outcome	exit_status	host_id	domain_name	p_ncpus	p_fpops	on_frac	active_frac
1	exp_20260916T154418Z_hybrid_short_1_0	exp_20260916T154418Z_hybrid_short_1	short	1789574989	5000000000	600	1789575058	1789575086	1789575658	2.576187	7.048408	1000000000	1	0	1	phone-01	1	1000000000	1	1
2	exp_20260916T154418Z_hybrid_short_2_0	exp_20260916T154418Z_hybrid_short_2	short	1789574994	5000000000	600	1789575067	1789575091	1789575667	3.004363	7.032941	1000000000	1	0	5	phone-02	1	1000000000	1	1
3	exp_20260916T154418Z_hybrid_short_3_0	exp_20260916T154418Z_hybrid_short_3	short	1789574994	5000000000	600	1789575079	1789575103	1789575679	3.075491	8.032416	1000000000	1	0	5	phone-02	1	1000000000	1	1
4	exp_20260916T154418Z_hybrid_short_4_0	exp_20260916T154418Z_hybrid_short_4	short	1789574994	5000000000	600	1789575075	1789575098	1789575675	3.070775	8.033279	1000000000	1	0	1	phone-01	1	1000000000	1	1
5	exp_20260916T154418Z_hybrid_short_5_0	exp_20260916T154418Z_hybrid_short_5	short	1789574999	5000000000	600	1789575086	1789575110	1789575686	3.567014	9.031063	1000000000	1	0	1	phone-01	1	1000000000	1	1
6	exp_20260916T154418Z_hybrid_short_6_0	exp_20260916T154418Z_hybrid_short_6	short	1789574999	5000000000	600	1789575091	1789575120	1789575691	2.502163	6.036139	1000000000	1	0	5	phone-02	1	1000000000	1	1
7	exp_20260916T154418Z_hybrid_short_7_0	exp_20260916T154418Z_hybrid_short_7	short	1789574999	5000000000	600	1789575092	1789575225	1789575692	5.940794	7.03909	1000000000	1	0	4	cluster-02	4	1000000000	1	1
8	exp_20260916T154418Z_hybrid_short_8_0	exp_20260916T154418Z_hybrid_short_8	short	1789575004	5000000000	600	1789575097	1789575153	1789575697	5.057456	7.021967	1000000000	1	0	6	cluster-01	4	1000000000	1	1
9	exp_20260916T154418Z_hybrid_short_9_0	exp_20260916T154418Z_hybrid_short_9	short	1789575004	5000000000	600	1789575097	1789575153	1789575697	4.986199	7.024	1000000000	1	0	6	cluster-01	4	1000000000	1	1
10	exp_20260916T154418Z_hybrid_short_10_0	exp_20260916T154418Z_hybrid_short_10	short	1789575004	5000000000	600	1789575097	1789575153	1789575697	4.966515	7.028143	1000000000	1	0	6	cluster-01	4	1000000000	1	1
11	exp_20260916T154418Z_hybrid_short_11_0	exp_20260916T154418Z_hybrid_short_11	short	1789575004	5000000000	600	1789575098	1789575122	1789575698	2.553094	7.014996	1000000000	1	0	1	phone-01	1	1000000000	1	1
12	exp_20260916T154418Z_hybrid_short_12_0	exp_20260916T154418Z_hybrid_short_12	short	1789575009	5000000000	600	1789575103	1789575132	1789575703	3.651769	9.017584	1000000000	1	0	5	phone-02	1	1000000000	1	1
13	exp_20260916T154418Z_hybrid_short_13_0	exp_20260916T154418Z_hybrid_short_13	short	1789575009	5000000000	600	1789575110	1789575134	1789575710	2.565498	7.024012	1000000000	1	0	1	phone-01	1	1000000000	1	1
14	exp_20260916T154418Z_hybrid_short_14_0	exp_20260916T154418Z_hybrid_short_14	short	1789575009	5000000000	600	1789575108	1789575154	1789575708	4.981788	7.015005	1000000000	1	0	3	low-power-01	1	1000000000	1	1
