apache-1  | /usr/lib/python2.7/dist-packages/supervisor/options.py:461: UserWarning: Supervisord is running as root and it is searching for its configuration file in default locations (including its current working directory); you probably want to specify a "-c" argument specifying an absolute path to a configuration file for improved security.
apache-1  |   'Supervisord is running as root and it is searching '
apache-1  | 2026-09-16 15:56:20,960 CRIT Supervisor is running as root.  Privileges were not dropped because no user is specified in the config file.  If you intend to run as root, you can set user=root in the config file to avoid this message.
apache-1  | 2026-09-16 15:56:20,960 INFO Included extra file "/etc/supervisor/conf.d/supervisord.conf" during parsing
apache-1  | 2026-09-16 15:56:20,964 INFO RPC interface 'supervisor' initialized
apache-1  | 2026-09-16 15:56:20,964 CRIT Server 'unix_http_server' running without any HTTP authentication checking
apache-1  | 2026-09-16 15:56:20,964 INFO supervisord started with pid 1
apache-1  | 2026-09-16 15:56:21,968 INFO spawned: 'cron' with pid 9
apache-1  | 2026-09-16 15:56:21,970 INFO spawned: 'start' with pid 10
apache-1  | 2026-09-16 15:56:21,972 INFO spawned: 'rsyslogd' with pid 11
apache-1  | 2026-09-16 15:56:21,974 INFO spawned: 'apache2' with pid 12
apache-1  | 2026-09-16 15:56:23,936 INFO success: cron entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 15:56:23,936 INFO success: start entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 15:56:23,936 INFO success: rsyslogd entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 15:56:23,936 INFO success: apache2 entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 15:56:37,478 INFO reaped unknown pid 64
apache-1  | 2026-09-16 15:56:37,479 INFO reaped unknown pid 66
apache-1  | 2026-09-16 15:56:37,479 INFO reaped unknown pid 68
apache-1  | 2026-09-16 15:56:44,057 INFO reaped unknown pid 67
apache-1  | 2026-09-16 15:56:44,057 INFO reaped unknown pid 69
apache-1  | 2026-09-16 15:56:44,059 INFO reaped unknown pid 65
apache-1  | 2026-09-16 15:56:52,260 INFO reaped unknown pid 154
apache-1  | 2026-09-16 15:56:52,260 INFO reaped unknown pid 156
apache-1  | 2026-09-16 15:56:52,260 INFO reaped unknown pid 158
apache-1  | 2026-09-16 15:56:52,260 INFO reaped unknown pid 160
apache-1  | 2026-09-16 15:56:52,260 INFO reaped unknown pid 162
apache-1  | 2026-09-16 16:00:02,011 INFO reaped unknown pid 496
apache-1  | 2026-09-16 16:00:02,111 INFO reaped unknown pid 498
apache-1  | 2026-09-16 16:00:02,216 INFO reaped unknown pid 501
apache-1  | 2026-09-16 16:00:02,318 INFO reaped unknown pid 503
apache-1  | 2026-09-16 16:00:02,418 INFO reaped unknown pid 505
apache-1  | 2026-09-16 16:00:03,428 INFO reaped unknown pid 495
apache-1  | 2026-09-16 16:00:03,428 INFO reaped unknown pid 497
apache-1  | 2026-09-16 16:00:03,428 INFO reaped unknown pid 500
apache-1  | 2026-09-16 16:00:03,429 INFO reaped unknown pid 502
apache-1  | 2026-09-16 16:00:03,429 INFO reaped unknown pid 504
apache-1  | 2026-09-16 16:00:03,429 INFO reaped unknown pid 506
apache-1  | 2026-09-16 16:00:03,429 INFO reaped unknown pid 509
apache-1  | 2026-09-16 16:00:03,429 INFO reaped unknown pid 511
apache-1  | 2026-09-16 16:00:03,429 INFO reaped unknown pid 514
apache-1  | 2026-09-16 16:00:03,429 INFO reaped unknown pid 516
apache-1  | 2026-09-16 16:00:03,429 INFO reaped unknown pid 518
apache-1  | 2026-09-16 16:00:03,429 INFO reaped unknown pid 520
apache-1  | 2026-09-16 16:00:07,649 INFO reaped unknown pid 507
apache-1  | 2026-09-16 16:00:07,953 INFO reaped unknown pid 512
