result_id	result_name	workunit_name	work_class	wu_create_time	rsc_fpops_est	delay_bound	sent_time	received_time	report_deadline	cpu_time	elapsed_time	flops_estimate	outcome	exit_status	host_id	domain_name	p_ncpus	p_fpops	on_frac	active_frac
1	exp_20260916T154418Z_lpt_short_1_0	exp_20260916T154418Z_lpt_short_1	short	1789574226	5000000000	600	1789574321	1789574368	1789574921	3.5725	9.079048	1000000000	1	0	6	phone-01	1	1000000000	1	1
2	exp_20260916T154418Z_lpt_short_2_0	exp_20260916T154418Z_lpt_short_2	short	1789574226	5000000000	600	1789574324	1789574375	1789574924	4.964301	7.024004	1000000000	1	0	2	cluster-02	4	1000000000	1	1
3	exp_20260916T154418Z_lpt_short_3_0	exp_20260916T154418Z_lpt_short_3	short	1789574226	5000000000	600	1789574324	1789574375	1789574924	6.02939	8.027047	1000000000	1	0	2	cluster-02	4	1000000000	1	1
4	exp_20260916T154418Z_lpt_short_4_0	exp_20260916T154418Z_lpt_short_4	short	1789574231	5000000000	600	1789574324	1789574375	1789574924	6.025427	8.02498	1000000000	1	0	2	cluster-02	4	1000000000	1	1
5	exp_20260916T154418Z_lpt_short_5_0	exp_20260916T154418Z_lpt_short_5	short	1789574231	5000000000	600	1789574328	1789574375	1789574928	5.972747	7.026251	1000000000	1	0	4	cluster-01	4	1000000000	1	1
6	exp_20260916T154418Z_lpt_short_6_0	exp_20260916T154418Z_lpt_short_6	short	1789574231	5000000000	600	1789574328	1789574375	1789574928	6.002234	7.030956	1000000000	1	0	4	cluster-01	4	1000000000	1	1
7	exp_20260916T154418Z_lpt_short_7_0	exp_20260916T154418Z_lpt_short_7	short	1789574236	5000000000	600	1789574329	1789574375	1789574929	4.966415	7.030759	1000000000	1	0	4	cluster-01	4	1000000000	1	1
8	exp_20260916T154418Z_lpt_short_8_0	exp_20260916T154418Z_lpt_short_8	short	1789574236	5000000000	600	1789574339	1789574419	1789574939	5.078507	7.019928	1000000000	1	0	5	desktop-01	2	1000000000	1	1
9	exp_20260916T154418Z_lpt_short_9_0	exp_20260916T154418Z_lpt_short_9	short	1789574236	5000000000	600	1789574356	1789574380	1789574956	3.506797	8.024011	1000000000	1	0	6	phone-01	1	1000000000	1	1
10	exp_20260916T154418Z_lpt_short_10_0	exp_20260916T154418Z_lpt_short_10	short	1789574241	5000000000	600	1789574363	1789574398	1789574963	6.034945	8.053371	1000000000	1	0	2	cluster-02	4	1000000000	1	1
11	exp_20260916T154418Z_lpt_short_11_0	exp_20260916T154418Z_lpt_short_11	short	1789574241	5000000000	600	1789574363	1789574419	1789574963	5.070776	7.0151	1000000000	1	0	5	desktop-01	2	1000000000	1	1
12	exp_20260916T154418Z_lpt_short_12_0	exp_20260916T154418Z_lpt_short_12	short	1789574241	5000000000	600	1789574363	1789574386	1789574963	5.007672	8.026657	1000000000	1	0	2	cluster-02	4	1000000000	1	1
13	exp_20260916T154418Z_lpt_short_13_0	exp_20260916T154418Z_lpt_short_13	short	1789574246	5000000000	600	1789574363	1789574386	1789574963	5.061882	7.025015	1000000000	1	0	2	cluster-02	4	1000000000	1	1
14	exp_20260916T154418Z_lpt_short_14_0	exp_20260916T154418Z_lpt_short_14	short	1789574246	5000000000	600	1789574363	1789574387	1789574963	4.932631	7.047023	1000000000	1	0	4	cluster-01	4	1000000000	1	1
15	exp_20260916T154418Z_lpt_short_15_0	exp_20260916T154418Z_lpt_short_15	short	1789574246	5000000000	600	1789574363	1789574387	1789574963	6.054868	8.044603	1000000000	1	0	4	cluster-01	4	1000000000	1	1
16	exp_20260916T154418Z_lpt_short_16_0	exp_20260916T154418Z_lpt_short_16	short	1789574246	5000000000	600	1789574363	1789574399	1789574963	6.079001	8.039026	1000000000	1	0	4	cluster-01	4	1000000000	1	1
17	exp_20260916T154418Z_lpt_short_17_0	exp_20260916T154418Z_lpt_short_17	short	1789574246	5000000000	600	1789574368	1789574392	1789574968	3.587807	9.020051	1000000000	1	0	6	phone-01	1	1000000000	1	1
18	exp_20260916T154418Z_lpt_short_18_0	exp_20260916T154418Z_lpt_short_18	short	1789574246	5000000000	600	1789574375	1789574398	1789574975	4.961016	7.041512	1000000000	1	0	2	cluster-02	4	1000000000	1	1
19	exp_20260916T154418Z_lpt_medium_1_0	exp_20260916T154418Z_lpt_medium_1	medium	1789574251	30000000000	1200	1789574309	1789574356	1789575509	15.66974	33.168586	1000000000	1	0	6	phone-01	1	1000000000	1	1
20	exp_20260916T154418Z_lpt_medium_2_0	exp_20260916T154418Z_lpt_medium_2	medium	1789574251	30000000000	1200	1789574311	1789574363	1789575511	29.0577	31.133873	1000000000	1	0	2	cluster-02	4	1000000000	1	1
21	exp_20260916T154418Z_lpt_medium_3_0	exp_20260916T154418Z_lpt_medium_3	medium	1789574251	30000000000	1200	1789574311	1789574363	1789575511	30.29338	33.148878	1000000000	1	0	2	cluster-02	4	1000000000	1	1
22	exp_20260916T154418Z_lpt_medium_4_0	exp_20260916T154418Z_lpt_medium_4	medium	1789574256	30000000000	1200	1789574311	1789574363	1789575511	29.38844	32.139536	1000000000	1	0	2	cluster-02	4	1000000000	1	1
23	exp_20260916T154418Z_lpt_medium_5_0	exp_20260916T154418Z_lpt_medium_5	medium	1789574256	30000000000	1200	1789574311	1789574386	1789575511	31.01096	33.146414	1000000000	1	0	2	cluster-02	4	1000000000	1	1
24	exp_20260916T154418Z_lpt_medium_6_0	exp_20260916T154418Z_lpt_medium_6	medium	1789574256	30000000000	1200	1789574315	1789574468	1789575515	30.52751	32.133415	1000000000	1	0	3	low-power-01	1	1000000000	1	1
