apache-1  | /usr/lib/python2.7/dist-packages/supervisor/options.py:461: UserWarning: Supervisord is running as root and it is searching for its configuration file in default locations (including its current working directory); you probably want to specify a "-c" argument specifying an absolute path to a configuration file for improved security.
apache-1  |   'Supervisord is running as root and it is searching '
apache-1  | 2026-09-16 15:50:15,882 CRIT Supervisor is running as root.  Privileges were not dropped because no user is specified in the config file.  If you intend to run as root, you can set user=root in the config file to avoid this message.
apache-1  | 2026-09-16 15:50:15,882 INFO Included extra file "/etc/supervisor/conf.d/supervisord.conf" during parsing
apache-1  | 2026-09-16 15:50:15,887 INFO RPC interface 'supervisor' initialized
apache-1  | 2026-09-16 15:50:15,887 CRIT Server 'unix_http_server' running without any HTTP authentication checking
apache-1  | 2026-09-16 15:50:15,887 INFO supervisord started with pid 1
apache-1  | 2026-09-16 15:50:16,891 INFO spawned: 'cron' with pid 9
apache-1  | 2026-09-16 15:50:16,895 INFO spawned: 'start' with pid 10
apache-1  | 2026-09-16 15:50:16,896 INFO spawned: 'rsyslogd' with pid 11
apache-1  | 2026-09-16 15:50:16,900 INFO spawned: 'apache2' with pid 12
apache-1  | 2026-09-16 15:50:18,849 INFO success: cron entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 15:50:18,850 INFO success: start entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 15:50:18,850 INFO success: rsyslogd entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 15:50:18,850 INFO success: apache2 entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 15:50:37,447 INFO reaped unknown pid 69
apache-1  | 2026-09-16 15:50:37,447 INFO reaped unknown pid 71
apache-1  | 2026-09-16 15:50:37,448 INFO reaped unknown pid 73
apache-1  | 2026-09-16 15:50:45,067 INFO reaped unknown pid 72
apache-1  | 2026-09-16 15:50:45,067 INFO reaped unknown pid 74
apache-1  | 2026-09-16 15:50:45,069 INFO reaped unknown pid 70
apache-1  | 2026-09-16 15:50:53,259 INFO reaped unknown pid 159
apache-1  | 2026-09-16 15:50:53,259 INFO reaped unknown pid 161
apache-1  | 2026-09-16 15:50:53,259 INFO reaped unknown pid 163
apache-1  | 2026-09-16 15:50:53,259 INFO reaped unknown pid 165
apache-1  | 2026-09-16 15:50:53,259 INFO reaped unknown pid 167
apache-1  | 2026-09-16 15:55:01,932 INFO reaped unknown pid 550
apache-1  | 2026-09-16 15:55:02,032 INFO reaped unknown pid 552
apache-1  | 2026-09-16 15:55:02,137 INFO reaped unknown pid 554
apache-1  | 2026-09-16 15:55:02,240 INFO reaped unknown pid 556
apache-1  | 2026-09-16 15:55:02,341 INFO reaped unknown pid 558
apache-1  | 2026-09-16 15:55:03,367 INFO reaped unknown pid 549
apache-1  | 2026-09-16 15:55:03,367 INFO reaped unknown pid 551
apache-1  | 2026-09-16 15:55:03,367 INFO reaped unknown pid 553
apache-1  | 2026-09-16 15:55:03,367 INFO reaped unknown pid 555
apache-1  | 2026-09-16 15:55:03,367 INFO reaped unknown pid 557
apache-1  | 2026-09-16 15:55:03,367 INFO reaped unknown pid 559
apache-1  | 2026-09-16 15:55:03,367 INFO reaped unknown pid 560
apache-1  | 2026-09-16 15:55:03,367 INFO reaped unknown pid 564
apache-1  | 2026-09-16 15:55:03,367 INFO reaped unknown pid 573
apache-1  | 2026-09-16 15:55:03,367 INFO reaped unknown pid 575
apache-1  | 2026-09-16 15:55:07,759 INFO reaped unknown pid 566
apache-1  | 2026-09-16 15:55:07,880 INFO reaped unknown pid 567
apache-1  | 2026-09-16 15:55:07,982 INFO reaped unknown pid 569
apache-1  | 2026-09-16 15:55:08,087 INFO reaped unknown pid 571
