result_id	result_name	workunit_name	work_class	wu_create_time	rsc_fpops_est	delay_bound	sent_time	received_time	report_deadline	cpu_time	elapsed_time	flops_estimate	outcome	exit_status	host_id	domain_name	p_ncpus	p_fpops	on_frac	active_frac
1	exp_20260916T154418Z_random_short_1_0	exp_20260916T154418Z_random_short_1	short	1789573866	5000000000	600	1789574019	1789574058	1789574619	4.97163	7.013081	1000000000	1	0	1	cluster-02	4	1000000000	1	1
2	exp_20260916T154418Z_random_short_2_0	exp_20260916T154418Z_random_short_2	short	1789573866	5000000000	600	1789574024	1789574058	1789574624	4.832469	6.019061	1000000000	1	0	4	cluster-01	4	1000000000	1	1
3	exp_20260916T154418Z_random_short_3_0	exp_20260916T154418Z_random_short_3	short	1789573866	5000000000	600	1789573990	1789574024	1789574590	4.922435	7.034051	1000000000	1	0	4	cluster-01	4	1000000000	1	1
4	exp_20260916T154418Z_random_short_4_0	exp_20260916T154418Z_random_short_4	short	1789573871	5000000000	600	1789574019	1789574070	1789574619	4.974585	7.036942	1000000000	1	0	1	cluster-02	4	1000000000	1	1
5	exp_20260916T154418Z_random_short_5_0	exp_20260916T154418Z_random_short_5	short	1789573871	5000000000	600	1789573990	1789574024	1789574590	5.912111	8.028026	1000000000	1	0	4	cluster-01	4	1000000000	1	1
6	exp_20260916T154418Z_random_short_6_0	exp_20260916T154418Z_random_short_6	short	1789573871	5000000000	600	1789573990	1789574007	1789574590	4.922336	7.024986	1000000000	1	0	4	cluster-01	4	1000000000	1	1
7	exp_20260916T154418Z_random_short_7_0	exp_20260916T154418Z_random_short_7	short	1789573877	5000000000	600	1789574007	1789574041	1789574607	5.069619	7.019936	1000000000	1	0	4	cluster-01	4	1000000000	1	1
8	exp_20260916T154418Z_random_short_8_0	exp_20260916T154418Z_random_short_8	short	1789573882	5000000000	600	1789573984	1789574026	1789574584	5.025876	7.048117	1000000000	1	0	5	desktop-01	2	1000000000	1	1
9	exp_20260916T154418Z_random_short_9_0	exp_20260916T154418Z_random_short_9	short	1789573882	5000000000	600	1789574007	1789574041	1789574607	5.053639	7.019225	1000000000	1	0	4	cluster-01	4	1000000000	1	1
10	exp_20260916T154418Z_random_short_10_0	exp_20260916T154418Z_random_short_10	short	1789573882	5000000000	600	1789573984	1789574041	1789574584	4.940759	7.055966	1000000000	1	0	1	cluster-02	4	1000000000	1	1
11	exp_20260916T154418Z_random_short_11_0	exp_20260916T154418Z_random_short_11	short	1789573882	5000000000	600	1789574024	1789574058	1789574624	5.944981	8.023967	1000000000	1	0	4	cluster-01	4	1000000000	1	1
12	exp_20260916T154418Z_random_short_12_0	exp_20260916T154418Z_random_short_12	short	1789573882	5000000000	600	1789574007	1789574041	1789574607	5.009146	7.047186	1000000000	1	0	4	cluster-01	4	1000000000	1	1
13	exp_20260916T154418Z_random_short_13_0	exp_20260916T154418Z_random_short_13	short	1789573882	5000000000	600	1789573984	1789574041	1789574584	5.015229	7.045783	1000000000	1	0	1	cluster-02	4	1000000000	1	1
14	exp_20260916T154418Z_random_short_14_0	exp_20260916T154418Z_random_short_14	short	1789573887	5000000000	600	1789574014	1789574038	1789574614	6.051662	8.018206	1000000000	1	0	5	desktop-01	2	1000000000	1	1
15	exp_20260916T154418Z_random_short_15_0	exp_20260916T154418Z_random_short_15	short	1789573887	5000000000	600	1789573978	1789574007	1789574578	5.961547	8.077598	1000000000	1	0	4	cluster-01	4	1000000000	1	1
16	exp_20260916T154418Z_random_short_16_0	exp_20260916T154418Z_random_short_16	short	1789573887	5000000000	600	1789573984	1789574058	1789574584	4.918218	7.042178	1000000000	1	0	1	cluster-02	4	1000000000	1	1
17	exp_20260916T154418Z_random_short_17_0	exp_20260916T154418Z_random_short_17	short	1789573892	5000000000	600	1789573977	1789574007	1789574577	4.901642	7.015975	1000000000	1	0	4	cluster-01	4	1000000000	1	1
18	exp_20260916T154418Z_random_short_18_0	exp_20260916T154418Z_random_short_18	short	1789573892	5000000000	600	1789573978	1789574007	1789574578	4.744796	8.016972	1000000000	1	0	4	cluster-01	4	1000000000	1	1
19	exp_20260916T154418Z_random_medium_1_0	exp_20260916T154418Z_random_medium_1	medium	1789573892	30000000000	1200	1789573972	1789574019	1789575172	30.30557	33.101831	1000000000	1	0	1	cluster-02	4	1000000000	1	1
20	exp_20260916T154418Z_random_medium_2_0	exp_20260916T154418Z_random_medium_2	medium	1789573897	30000000000	1200	1789573977	1789574024	1789575177	29.9433	32.184993	1000000000	1	0	4	cluster-01	4	1000000000	1	1
21	exp_20260916T154418Z_random_medium_3_0	exp_20260916T154418Z_random_medium_3	medium	1789573897	30000000000	1200	1789574007	1789574058	1789575207	30.3797	32.242548	1000000000	1	0	4	cluster-01	4	1000000000	1	1
