apache-1  | /usr/lib/python2.7/dist-packages/supervisor/options.py:461: UserWarning: Supervisord is running as root and it is searching for its configuration file in default locations (including its current working directory); you probably want to specify a "-c" argument specifying an absolute path to a configuration file for improved security.
apache-1  |   'Supervisord is running as root and it is searching '
apache-1  | 2026-09-16 16:16:05,216 CRIT Supervisor is running as root.  Privileges were not dropped because no user is specified in the config file.  If you intend to run as root, you can set user=root in the config file to avoid this message.
apache-1  | 2026-09-16 16:16:05,217 INFO Included extra file "/etc/supervisor/conf.d/supervisord.conf" during parsing
apache-1  | 2026-09-16 16:16:05,221 INFO RPC interface 'supervisor' initialized
apache-1  | 2026-09-16 16:16:05,221 CRIT Server 'unix_http_server' running without any HTTP authentication checking
apache-1  | 2026-09-16 16:16:05,221 INFO supervisord started with pid 1
apache-1  | 2026-09-16 16:16:06,224 INFO spawned: 'cron' with pid 9
apache-1  | 2026-09-16 16:16:06,227 INFO spawned: 'start' with pid 10
apache-1  | 2026-09-16 16:16:06,230 INFO spawned: 'rsyslogd' with pid 11
apache-1  | 2026-09-16 16:16:06,231 INFO spawned: 'apache2' with pid 12
apache-1  | 2026-09-16 16:16:08,205 INFO success: cron entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 16:16:08,205 INFO success: start entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 16:16:08,205 INFO success: rsyslogd entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 16:16:08,205 INFO success: apache2 entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 16:16:26,712 INFO reaped unknown pid 69
apache-1  | 2026-09-16 16:16:26,712 INFO reaped unknown pid 71
apache-1  | 2026-09-16 16:16:26,712 INFO reaped unknown pid 79
apache-1  | 2026-09-16 16:16:27,372 INFO reaped unknown pid 72
apache-1  | 2026-09-16 16:16:27,372 INFO reaped unknown pid 80
apache-1  | 2026-09-16 16:16:27,373 INFO reaped unknown pid 70
apache-1  | 2026-09-16 16:16:35,572 INFO reaped unknown pid 159
apache-1  | 2026-09-16 16:16:35,572 INFO reaped unknown pid 161
apache-1  | 2026-09-16 16:16:35,572 INFO reaped unknown pid 163
apache-1  | 2026-09-16 16:16:35,572 INFO reaped unknown pid 165
apache-1  | 2026-09-16 16:16:35,572 INFO reaped unknown pid 167
apache-1  | 2026-09-16 16:20:01,271 INFO reaped unknown pid 519
apache-1  | 2026-09-16 16:20:01,371 INFO reaped unknown pid 521
apache-1  | 2026-09-16 16:20:01,472 INFO reaped unknown pid 523
apache-1  | 2026-09-16 16:20:01,572 INFO reaped unknown pid 525
apache-1  | 2026-09-16 16:20:01,673 INFO reaped unknown pid 527
apache-1  | 2026-09-16 16:20:02,680 INFO reaped unknown pid 518
apache-1  | 2026-09-16 16:20:02,681 INFO reaped unknown pid 520
apache-1  | 2026-09-16 16:20:02,681 INFO reaped unknown pid 522
apache-1  | 2026-09-16 16:20:02,681 INFO reaped unknown pid 524
apache-1  | 2026-09-16 16:20:02,681 INFO reaped unknown pid 526
apache-1  | 2026-09-16 16:20:02,681 INFO reaped unknown pid 528
apache-1  | 2026-09-16 16:20:02,681 INFO reaped unknown pid 529
apache-1  | 2026-09-16 16:20:02,681 INFO reaped unknown pid 533
apache-1  | 2026-09-16 16:20:02,681 INFO reaped unknown pid 535
apache-1  | 2026-09-16 16:20:02,681 INFO reaped unknown pid 536
apache-1  | 2026-09-16 16:20:02,681 INFO reaped unknown pid 540
apache-1  | 2026-09-16 16:20:02,681 INFO reaped unknown pid 542
apache-1  | 2026-09-16 16:20:02,681 INFO reaped unknown pid 544
apache-1  | 2026-09-16 16:20:07,306 INFO reaped unknown pid 538
