result_id	result_name	workunit_name	work_class	wu_create_time	rsc_fpops_est	delay_bound	sent_time	received_time	report_deadline	cpu_time	elapsed_time	flops_estimate	outcome	exit_status	host_id	domain_name	p_ncpus	p_fpops	on_frac	active_frac
1	exp_20260916T154418Z_round_robin_short_1_0	exp_20260916T154418Z_round_robin_short_1	short	1789575404	5000000000	600	1789575472	1789575497	1789576072	2.601367	7.072926	1000000000	1	0	1	phone-02	1	1000000000	1	1
2	exp_20260916T154418Z_round_robin_short_2_0	exp_20260916T154418Z_round_robin_short_2	short	1789575404	5000000000	600	1789575502	1789575526	1789576102	5.099665	7.019686	1000000000	1	0	2	cluster-02	4	1000000000	1	1
3	exp_20260916T154418Z_round_robin_short_3_0	exp_20260916T154418Z_round_robin_short_3	short	1789575404	5000000000	600	1789575494	1789575529	1789576094	3.509225	8.014065	1000000000	1	0	3	phone-01	1	1000000000	1	1
4	exp_20260916T154418Z_round_robin_short_4_0	exp_20260916T154418Z_round_robin_short_4	short	1789575409	5000000000	600	1789575494	1789575524	1789576094	4.974061	7.01599	1000000000	1	0	4	cluster-01	4	1000000000	1	1
5	exp_20260916T154418Z_round_robin_short_5_0	exp_20260916T154418Z_round_robin_short_5	short	1789575409	5000000000	600	1789575477	1789575502	1789576077	5.011235	7.031048	1000000000	1	0	5	low-power-01	1	1000000000	1	1
6	exp_20260916T154418Z_round_robin_short_6_0	exp_20260916T154418Z_round_robin_short_6	short	1789575414	5000000000	600	1789575482	1789575512	1789576082	4.99015	7.03701	1000000000	1	0	6	desktop-01	2	1000000000	1	1
7	exp_20260916T154418Z_round_robin_short_7_0	exp_20260916T154418Z_round_robin_short_7	short	1789575419	5000000000	600	1789575484	1789575509	1789576084	3.03712	8.055049	1000000000	1	0	1	phone-02	1	1000000000	1	1
8	exp_20260916T154418Z_round_robin_short_8_0	exp_20260916T154418Z_round_robin_short_8	short	1789575419	5000000000	600	1789575472	1789575502	1789576072	5.093248	7.070412	1000000000	1	0	2	cluster-02	4	1000000000	1	1
9	exp_20260916T154418Z_round_robin_short_9_0	exp_20260916T154418Z_round_robin_short_9	short	1789575424	5000000000	600	1789575477	1789575512	1789576077	3.044224	8.041974	1000000000	1	0	3	phone-01	1	1000000000	1	1
10	exp_20260916T154418Z_round_robin_short_10_0	exp_20260916T154418Z_round_robin_short_10	short	1789575424	5000000000	600	1789575477	1789575507	1789576077	4.987494	6.037201	1000000000	1	0	4	cluster-01	4	1000000000	1	1
11	exp_20260916T154418Z_round_robin_short_11_0	exp_20260916T154418Z_round_robin_short_11	short	1789575424	5000000000	600	1789575489	1789575514	1789576089	5.075006	7.014009	1000000000	1	0	5	low-power-01	1	1000000000	1	1
12	exp_20260916T154418Z_round_robin_short_12_0	exp_20260916T154418Z_round_robin_short_12	short	1789575424	5000000000	600	1789575494	1789575524	1789576094	5.080799	8.014449	1000000000	1	0	6	desktop-01	2	1000000000	1	1
13	exp_20260916T154418Z_round_robin_short_13_0	exp_20260916T154418Z_round_robin_short_13	short	1789575424	5000000000	600	1789575497	1789575521	1789576097	3.094152	8.08653	1000000000	1	0	1	phone-02	1	1000000000	1	1
14	exp_20260916T154418Z_round_robin_short_14_0	exp_20260916T154418Z_round_robin_short_14	short	1789575429	5000000000	600	1789575485	1789575514	1789576085	4.971274	7.021373	1000000000	1	0	2	cluster-02	4	1000000000	1	1
15	exp_20260916T154418Z_round_robin_short_15_0	exp_20260916T154418Z_round_robin_short_15	short	1789575429	5000000000	600	1789575502	1789575538	1789576102	4.692846	7.039022	1000000000	1	0	2	cluster-02	4	1000000000	1	1
16	exp_20260916T154418Z_round_robin_short_16_0	exp_20260916T154418Z_round_robin_short_16	short	1789575429	5000000000	600	1789575494	1789575524	1789576094	4.979618	8.018236	1000000000	1	0	4	cluster-01	4	1000000000	1	1
17	exp_20260916T154418Z_round_robin_short_17_0	exp_20260916T154418Z_round_robin_short_17	short	1789575429	5000000000	600	1789575502	1789575526	1789576102	5.086637	7.023237	1000000000	1	0	5	low-power-01	1	1000000000	1	1
18	exp_20260916T154418Z_round_robin_short_18_0	exp_20260916T154418Z_round_robin_short_18	short	1789575429	5000000000	600	1789575494	1789575524	1789576094	5.070565	7.013288	1000000000	1	0	6	desktop-01	2	1000000000	1	1
19	exp_20260916T154418Z_round_robin_medium_1_0	exp_20260916T154418Z_round_robin_medium_1	medium	1789575434	30000000000	1200	1789575502	1789575561	1789576702	28.52753	31.186197	1000000000	1	0	2	cluster-02	4	1000000000	1	1
20	exp_20260916T154418Z_round_robin_medium_2_0	exp_20260916T154418Z_round_robin_medium_2	medium	1789575434	30000000000	1200	1789575485	1789575526	1789576685	30.32123	32.105616	1000000000	1	0	2	cluster-02	4	1000000000	1	1
21	exp_20260916T154418Z_round_robin_medium_3_0	exp_20260916T154418Z_round_robin_medium_3	medium	1789575434	30000000000	1200	1789575502	1789575561	1789576702	29.65322	32.194997	1000000000	1	0	2	cluster-02	4	1000000000	1	1
22	exp_20260916T154418Z_round_robin_medium_4_0	exp_20260916T154418Z_round_robin_medium_4	medium	1789575434	30000000000	1200	1789575495	1789575536	1789576695	29.99683	32.087988	1000000000	1	0	4	cluster-01	4	1000000000	1	1
23	exp_20260916T154418Z_round_robin_medium_5_0	exp_20260916T154418Z_round_robin_medium_5	medium	1789575439	30000000000	1200	1789575514	1789575555	1789576714	30.35949	32.081984	1000000000	1	0	5	low-power-01	1	1000000000	1	1
24	exp_20260916T154418Z_round_robin_medium_6_0	exp_20260916T154418Z_round_robin_medium_6	medium	1789575439	30000000000	1200	1789575514	1789575573	1789576714	30.03253	32.160983	1000000000	1	0	2	cluster-02	4	1000000000	1	1
25	exp_20260916T154418Z_round_robin_medium_7_0	exp_20260916T154418Z_round_robin_medium_7	medium	1789575439	30000000000	1200	1789575509	1789575550	1789576709	14.88083	31.096827	1000000000	1	0	1	phone-02	1	1000000000	1	1
26	exp_20260916T154418Z_round_robin_medium_8_0	exp_20260916T154418Z_round_robin_medium_8	medium	1789575439	30000000000	1200	1789575485	1789575526	1789576685	30.23514	33.106727	1000000000	1	0	2	cluster-02	4	1000000000	1	1
27	exp_20260916T154418Z_round_robin_medium_9_0	exp_20260916T154418Z_round_robin_medium_9	medium	1789575444	30000000000	1200	1789575507	1789575548	1789576707	29.71838	32.112983	1000000000	1	0	4	cluster-01	4	1000000000	1	1
28	exp_20260916T154418Z_round_robin_medium_10_0	exp_20260916T154418Z_round_robin_medium_10	medium	1789575449	30000000000	1200	1789575495	1789575536	1789576695	29.89801	33.090021	1000000000	1	0	4	cluster-01	4	1000000000	1	1
29	exp_20260916T154418Z_round_robin_medium_11_0	exp_20260916T154418Z_round_robin_medium_11	medium	1789575449	30000000000	1200	1789575507	1789575577	1789576707	29.88862	32.103086	1000000000	1	0	4	cluster-01	4	1000000000	1	1
30	exp_20260916T154418Z_round_robin_medium_12_0	exp_20260916T154418Z_round_robin_medium_12	medium	1789575449	30000000000	1200	1789575512	1789575553	1789576712	30.22005	32.085976	1000000000	1	0	6	desktop-01	2	1000000000	1	1
