apache-1  | /usr/lib/python2.7/dist-packages/supervisor/options.py:461: UserWarning: Supervisord is running as root and it is searching for its configuration file in default locations (including its current working directory); you probably want to specify a "-c" argument specifying an absolute path to a configuration file for improved security.
apache-1  |   'Supervisord is running as root and it is searching '
apache-1  | 2026-09-16 16:03:14,197 CRIT Supervisor is running as root.  Privileges were not dropped because no user is specified in the config file.  If you intend to run as root, you can set user=root in the config file to avoid this message.
apache-1  | 2026-09-16 16:03:14,197 INFO Included extra file "/etc/supervisor/conf.d/supervisord.conf" during parsing
apache-1  | 2026-09-16 16:03:14,201 INFO RPC interface 'supervisor' initialized
apache-1  | 2026-09-16 16:03:14,201 CRIT Server 'unix_http_server' running without any HTTP authentication checking
apache-1  | 2026-09-16 16:03:14,201 INFO supervisord started with pid 1
apache-1  | 2026-09-16 16:03:15,205 INFO spawned: 'cron' with pid 9
apache-1  | 2026-09-16 16:03:15,209 INFO spawned: 'start' with pid 10
apache-1  | 2026-09-16 16:03:15,212 INFO spawned: 'rsyslogd' with pid 11
apache-1  | 2026-09-16 16:03:15,215 INFO spawned: 'apache2' with pid 12
apache-1  | 2026-09-16 16:03:17,179 INFO success: cron entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 16:03:17,179 INFO success: start entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 16:03:17,179 INFO success: rsyslogd entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 16:03:17,179 INFO success: apache2 entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
apache-1  | 2026-09-16 16:03:35,731 INFO reaped unknown pid 69
apache-1  | 2026-09-16 16:03:35,731 INFO reaped unknown pid 71
apache-1  | 2026-09-16 16:03:35,731 INFO reaped unknown pid 73
apache-1  | 2026-09-16 16:03:51,442 INFO reaped unknown pid 72
apache-1  | 2026-09-16 16:03:51,442 INFO reaped unknown pid 74
apache-1  | 2026-09-16 16:03:51,444 INFO reaped unknown pid 70
apache-1  | 2026-09-16 16:03:59,649 INFO reaped unknown pid 159
apache-1  | 2026-09-16 16:03:59,649 INFO reaped unknown pid 161
apache-1  | 2026-09-16 16:03:59,649 INFO reaped unknown pid 163
apache-1  | 2026-09-16 16:03:59,649 INFO reaped unknown pid 165
apache-1  | 2026-09-16 16:03:59,649 INFO reaped unknown pid 167
apache-1  | 2026-09-16 16:05:01,254 INFO reaped unknown pid 230
apache-1  | 2026-09-16 16:05:01,362 INFO reaped unknown pid 232
apache-1  | 2026-09-16 16:05:01,465 INFO reaped unknown pid 234
apache-1  | 2026-09-16 16:05:01,571 INFO reaped unknown pid 236
apache-1  | 2026-09-16 16:05:01,673 INFO reaped unknown pid 238
apache-1  | 2026-09-16 16:05:02,723 INFO reaped unknown pid 229
apache-1  | 2026-09-16 16:05:02,723 INFO reaped unknown pid 231
apache-1  | 2026-09-16 16:05:02,723 INFO reaped unknown pid 233
apache-1  | 2026-09-16 16:05:02,724 INFO reaped unknown pid 235
apache-1  | 2026-09-16 16:05:02,724 INFO reaped unknown pid 237
apache-1  | 2026-09-16 16:05:02,724 INFO reaped unknown pid 239
apache-1  | 2026-09-16 16:05:02,724 INFO reaped unknown pid 242
apache-1  | 2026-09-16 16:05:02,724 INFO reaped unknown pid 244
apache-1  | 2026-09-16 16:05:02,724 INFO reaped unknown pid 247
apache-1  | 2026-09-16 16:05:02,724 INFO reaped unknown pid 249
apache-1  | 2026-09-16 16:05:02,724 INFO reaped unknown pid 251
apache-1  | 2026-09-16 16:05:02,724 INFO reaped unknown pid 253
apache-1  | 2026-09-16 16:05:06,922 INFO reaped unknown pid 240
apache-1  | 2026-09-16 16:05:07,233 INFO reaped unknown pid 245
