result_id	result_name	workunit_name	work_class	wu_create_time	rsc_fpops_est	delay_bound	sent_time	received_time	report_deadline	cpu_time	elapsed_time	flops_estimate	outcome	exit_status	host_id	domain_name	p_ncpus	p_fpops	on_frac	active_frac
1	exp_20260916T154418Z_sjf_short_1_0	exp_20260916T154418Z_sjf_short_1	short	1789574648	5000000000	600	1789574722	1789574746	1789575322	5.086868	7.03941	1000000000	1	0	1	desktop-01	2	1000000000	1	1
2	exp_20260916T154418Z_sjf_short_2_0	exp_20260916T154418Z_sjf_short_2	short	1789574653	5000000000	600	1789574722	1789574751	1789575322	5.097422	7.036516	1000000000	1	0	2	cluster-02	4	1000000000	1	1
3	exp_20260916T154418Z_sjf_short_3_0	exp_20260916T154418Z_sjf_short_3	short	1789574658	5000000000	600	1789574727	1789574756	1789575327	6.070245	8.03137	1000000000	1	0	5	low-power-01	1	1000000000	1	1
4	exp_20260916T154418Z_sjf_short_4_0	exp_20260916T154418Z_sjf_short_4	short	1789574658	5000000000	600	1789574722	1789574751	1789575322	2.58728	7.034242	1000000000	1	0	3	phone-02	1	1000000000	1	1
5	exp_20260916T154418Z_sjf_short_5_0	exp_20260916T154418Z_sjf_short_5	short	1789574663	5000000000	600	1789574727	1789574756	1789575327	5.989605	8.040791	1000000000	1	0	4	cluster-01	4	1000000000	1	1
6	exp_20260916T154418Z_sjf_short_6_0	exp_20260916T154418Z_sjf_short_6	short	1789574663	5000000000	600	1789574727	1789574756	1789575327	3.072501	8.032161	1000000000	1	0	6	phone-01	1	1000000000	1	1
7	exp_20260916T154418Z_sjf_short_7_0	exp_20260916T154418Z_sjf_short_7	short	1789574663	5000000000	600	1789574734	1789574758	1789575334	4.965007	8.017763	1000000000	1	0	1	desktop-01	2	1000000000	1	1
8	exp_20260916T154418Z_sjf_short_8_0	exp_20260916T154418Z_sjf_short_8	short	1789574668	5000000000	600	1789574734	1789574768	1789575334	4.984708	8.026003	1000000000	1	0	2	cluster-02	4	1000000000	1	1
9	exp_20260916T154418Z_sjf_short_9_0	exp_20260916T154418Z_sjf_short_9	short	1789574668	5000000000	600	1789574734	1789574758	1789575334	4.976339	7.016731	1000000000	1	0	1	desktop-01	2	1000000000	1	1
10	exp_20260916T154418Z_sjf_short_10_0	exp_20260916T154418Z_sjf_short_10	short	1789574668	5000000000	600	1789574734	1789574768	1789575334	4.987196	7.025011	1000000000	1	0	2	cluster-02	4	1000000000	1	1
11	exp_20260916T154418Z_sjf_short_11_0	exp_20260916T154418Z_sjf_short_11	short	1789574673	5000000000	600	1789574734	1789574768	1789575334	4.983339	9.029304	1000000000	1	0	2	cluster-02	4	1000000000	1	1
12	exp_20260916T154418Z_sjf_short_12_0	exp_20260916T154418Z_sjf_short_12	short	1789574673	5000000000	600	1789574734	1789574768	1789575334	4.978828	10.033019	1000000000	1	0	2	cluster-02	4	1000000000	1	1
13	exp_20260916T154418Z_sjf_short_13_0	exp_20260916T154418Z_sjf_short_13	short	1789574673	5000000000	600	1789574734	1789574762	1789575334	3.063261	8.029844	1000000000	1	0	3	phone-02	1	1000000000	1	1
14	exp_20260916T154418Z_sjf_short_14_0	exp_20260916T154418Z_sjf_short_14	short	1789574678	5000000000	600	1789574739	1789574773	1789575339	4.973666	10.056226	1000000000	1	0	4	cluster-01	4	1000000000	1	1
15	exp_20260916T154418Z_sjf_short_15_0	exp_20260916T154418Z_sjf_short_15	short	1789574678	5000000000	600	1789574739	1789574773	1789575339	5.087528	8.037332	1000000000	1	0	4	cluster-01	4	1000000000	1	1
