result_id	result_name	workunit_name	work_class	wu_create_time	rsc_fpops_est	delay_bound	sent_time	received_time	report_deadline	cpu_time	elapsed_time	flops_estimate	outcome	exit_status	host_id	domain_name	p_ncpus	p_fpops	on_frac	active_frac
1	exp_20260916T154418Z_weighted_least_loaded_short_1_0	exp_20260916T154418Z_weighted_least_loaded_short_1	short	1789575755	5000000000	600	1789575824	1789575853	1789576424	5.098786	7.032736	1000000000	1	0	1	cluster-02	4	1000000000	1	1
2	exp_20260916T154418Z_weighted_least_loaded_short_2_0	exp_20260916T154418Z_weighted_least_loaded_short_2	short	1789575755	5000000000	600	1789575829	1789575853	1789576429	5.955216	7.026671	1000000000	1	0	5	low-power-01	1	1000000000	1	1
3	exp_20260916T154418Z_weighted_least_loaded_short_3_0	exp_20260916T154418Z_weighted_least_loaded_short_3	short	1789575755	5000000000	600	1789575828	1789575857	1789576428	2.586104	7.029872	1000000000	1	0	2	phone-01	1	1000000000	1	1
4	exp_20260916T154418Z_weighted_least_loaded_short_4_0	exp_20260916T154418Z_weighted_least_loaded_short_4	short	1789575761	5000000000	600	1789575833	1789575857	1789576433	2.536152	7.029759	1000000000	1	0	6	phone-02	1	1000000000	1	1
5	exp_20260916T154418Z_weighted_least_loaded_short_5_0	exp_20260916T154418Z_weighted_least_loaded_short_5	short	1789575761	5000000000	600	1789575829	1789575858	1789576429	5.092908	7.0392	1000000000	1	0	3	desktop-01	2	1000000000	1	1
6	exp_20260916T154418Z_weighted_least_loaded_short_6_0	exp_20260916T154418Z_weighted_least_loaded_short_6	short	1789575766	5000000000	600	1789575829	1789575858	1789576429	5.093442	7.045035	1000000000	1	0	4	cluster-01	4	1000000000	1	1
7	exp_20260916T154418Z_weighted_least_loaded_short_7_0	exp_20260916T154418Z_weighted_least_loaded_short_7	short	1789575766	5000000000	600	1789575841	1789575865	1789576441	4.974714	7.024515	1000000000	1	0	1	cluster-02	4	1000000000	1	1
8	exp_20260916T154418Z_weighted_least_loaded_short_8_0	exp_20260916T154418Z_weighted_least_loaded_short_8	short	1789575771	5000000000	600	1789575845	1789575875	1789576445	3.093723	8.070911	1000000000	1	0	2	phone-01	1	1000000000	1	1
9	exp_20260916T154418Z_weighted_least_loaded_short_9_0	exp_20260916T154418Z_weighted_least_loaded_short_9	short	1789575771	5000000000	600	1789575846	1789575870	1789576446	4.963581	8.022683	1000000000	1	0	3	desktop-01	2	1000000000	1	1
10	exp_20260916T154418Z_weighted_least_loaded_short_10_0	exp_20260916T154418Z_weighted_least_loaded_short_10	short	1789575771	5000000000	600	1789575841	1789575865	1789576441	4.970379	7.018627	1000000000	1	0	5	low-power-01	1	1000000000	1	1
11	exp_20260916T154418Z_weighted_least_loaded_short_11_0	exp_20260916T154418Z_weighted_least_loaded_short_11	short	1789575771	5000000000	600	1789575846	1789575870	1789576446	4.964534	9.028326	1000000000	1	0	4	cluster-01	4	1000000000	1	1
12	exp_20260916T154418Z_weighted_least_loaded_short_12_0	exp_20260916T154418Z_weighted_least_loaded_short_12	short	1789575776	5000000000	600	1789575841	1789575865	1789576441	4.97519	9.029669	1000000000	1	0	1	cluster-02	4	1000000000	1	1
